date,african_music_total_streams
2018-05-13,21599165.0
2018-05-20,34989790.0
2018-05-27,27688906.0
2018-06-03,21619295.0
2018-06-10,18242269.0
2018-06-17,15188649.0
2018-06-24,11279954.0
2018-07-01,9765037.0
2018-07-08,8092589.0
2018-07-15,7375442.0
2018-07-22,7311699.0
2018-07-29,6254341.0
2018-08-05,5500119.0
2018-08-12,4946758.0
2018-08-19,4448525.0
2018-08-26,4168148.0
2018-09-02,3864103.0
2019-12-22,14809370.0
2019-12-29,9580803.0
2020-01-05,8657010.0
2020-01-12,9315200.0
2020-01-19,7052240.0
2020-01-26,6130644.0
2020-02-02,5531646.0
2020-02-09,5275845.0
2020-02-16,4951977.0
2020-02-23,4989757.0
2020-03-01,5813360.0
2020-03-08,7616632.0
2020-03-15,7126787.0
2020-03-22,6786222.0
2020-03-29,6610693.0
2020-04-05,6515805.0
2020-04-12,6282262.0
2020-04-19,6208250.0
2020-04-26,6311398.0
2020-05-03,6220273.0
2020-05-10,5989885.0
2020-05-17,5864558.0
2020-05-24,6039862.0
2020-05-31,5757248.0
2020-06-07,14059542.0
2020-06-14,10355480.0
2020-06-21,5729713.0
2020-06-28,5618667.0
2020-07-05,5558216.0
2020-07-12,5472032.0
2020-07-19,5735487.0
2020-07-26,5719430.0
2020-08-02,5873549.0
2020-08-09,6150837.0
2020-08-16,6124557.0
2020-08-23,6258909.0
2020-08-30,6290933.0
2020-09-06,6344772.0
2020-09-13,6335064.0
2020-09-20,6333799.0
2020-09-27,6448655.0
2020-10-04,6524424.0
2020-10-11,6365805.0
2020-10-18,6359332.0
2020-10-25,6718706.0
2020-11-01,7078713.0
2020-11-08,6651201.0
2020-11-15,6629494.0
2020-11-22,6709701.0
2020-11-29,6528839.0
2020-12-06,6660675.0
2020-12-13,6713135.0
2020-12-20,6254943.0
2021-01-03,5593719.0
2021-01-10,5919943.0
2021-01-17,11026951.0
2021-01-24,11289792.0
2021-01-31,11222681.0
2021-02-07,11366273.0
2021-02-14,11141310.0
2021-02-21,10683608.0
2021-02-28,10743922.0
2021-03-07,5661872.0
2021-03-14,5681403.0
2021-03-21,6197372.0
2021-03-28,6128357.0
2021-04-04,5906164.0
2021-04-11,5596303.0
2021-04-18,5544982.0
2021-04-25,5542926.0
2021-05-02,5578170.0
2021-05-09,5526849.0
2021-05-16,5378140.0
2021-05-23,5294368.0
2021-11-14,5154880.0
2021-11-28,6124726.0
2021-12-05,5785269.0
2021-12-12,5669523.0
2021-12-19,5892768.0
2021-12-26,7335491.0
2022-01-02,7792833.0
2022-01-09,8352181.0
2022-01-16,10421911.0
2022-01-23,13083857.0
2022-01-30,21018890.0
2022-02-06,23800472.0
2022-02-13,19067860.0
2022-02-20,19390328.0
2022-02-27,19550632.0
2022-03-06,19026134.0
2022-03-13,17879418.0
2022-03-20,17791540.0
2022-03-27,17613574.0
2022-04-03,17344371.0
2022-04-10,22699573.0
2022-04-17,22309136.0
2022-04-24,21389931.0
2022-05-01,21930519.0
2022-05-08,21533647.0
2022-05-15,19844785.0
2022-05-22,19118124.0
2022-05-29,19581427.0
2022-06-05,12775120.0
2022-06-12,12850490.0
2022-06-19,12607725.0
2022-06-26,12018265.0
2022-07-03,11527134.0
2022-07-10,11346848.0
2022-07-17,11181060.0
2022-07-24,11009803.0
2022-07-31,10702876.0
2022-08-07,10150218.0
2022-08-14,9744918.0
2022-08-21,9022552.0
2022-08-28,8878203.0
2022-09-04,8689403.0
2022-09-11,14760235.0
2022-09-18,16045729.0
2022-09-25,16065255.0
2022-10-02,15891429.0
2022-10-09,15342280.0
2022-10-16,15112444.0
2022-10-23,14914961.0
2022-10-30,14623615.0
2022-11-06,7577105.0
2022-11-13,7157525.0
2022-11-20,7283674.0
2022-11-27,6932100.0
2022-12-04,7109692.0
2022-12-11,8355275.0
2023-01-08,7121813.0
2023-01-22,10450166.0
2023-01-29,11502195.0
2023-02-05,9706881.0
2023-02-12,10877529.0
2023-02-19,12353647.0
2023-02-26,12876746.0
2023-03-05,12682124.0
2023-03-12,12560430.0
2023-03-19,12077718.0
2023-03-26,12266034.0
2023-04-02,12986388.0
2023-04-09,13275132.0
2023-04-16,12220381.0
2023-04-23,12826380.0
2023-04-30,13190911.0
2023-05-07,14126227.0
2023-05-14,14126330.0
2023-05-21,14629059.0
2023-05-28,14905001.0
2023-06-04,15659949.0
2023-06-11,14872855.0
2023-06-18,14541151.0
2023-06-25,13864208.0
2023-07-02,13813608.0
2023-07-09,12604434.0
2023-07-16,12295251.0
2023-07-23,11571739.0
2023-07-30,11041951.0
2023-08-06,10492214.0
2023-08-13,10087575.0
2023-08-20,9835683.0
2023-08-27,9276181.0
2023-09-03,8949620.0
2023-09-10,8628819.0
2024-08-25,9095053.0
2024-09-01,16794235.0
2024-09-08,21467038.0
2024-09-15,19678011.0
2024-09-22,16677446.0
2024-09-29,16252739.0
2024-10-06,14887787.0
2024-10-13,14016615.0
2024-10-20,13643920.0
2024-10-27,13157658.0
2024-11-03,12397714.0
2024-11-10,11288470.0
2024-11-17,11272932.0
2024-11-24,9495062.0
2024-12-01,9059262.0
2025-01-12,10265545.0
2025-01-19,13694989.0
2025-01-26,14194286.0
2025-02-02,13160680.0
2025-02-09,13306026.0
2025-02-16,14509972.0
2025-02-23,13851657.0
2025-03-02,14119129.0
2025-03-09,13159716.0
2025-03-16,12894945.0
2025-03-23,14122525.0
