date,alternative_total_streams
2017-01-01,31399239.0
2017-01-08,39157564.0
2017-01-15,34948736.0
2017-01-22,58954072.0
2017-01-29,43791723.0
2017-02-05,40454950.0
2017-02-12,42728685.0
2017-02-19,56367911.0
2017-02-26,58829179.0
2017-03-05,60761614.0
2017-03-12,89587155.0
2017-03-19,88033223.0
2017-03-26,73462269.0
2017-04-02,63021480.0
2017-04-09,63563201.0
2017-04-16,70656633.0
2017-04-23,64374755.0
2017-04-30,73292308.0
2017-05-07,69047910.0
2017-05-14,65472056.0
2017-05-21,68840502.0
2017-05-28,68793362.0
2017-06-04,70855142.0
2017-06-11,74625627.0
2017-06-18,60551896.0
2017-06-25,87105962.0
2017-07-02,88077885.0
2017-07-09,76140512.0
2017-07-16,68304707.0
2017-07-23,71827395.0
2017-07-30,84480679.0
2017-08-06,61145433.0
2017-08-13,57060648.0
2017-08-20,47530281.0
2017-08-27,49862597.0
2017-09-03,51226936.0
2017-09-10,44370220.0
2017-09-17,47063510.0
2017-09-24,49006351.0
2017-10-01,52496067.0
2017-10-08,55578543.0
2017-10-15,56867616.0
2017-10-22,59759058.0
2017-10-29,57898536.0
2017-11-05,54095706.0
2017-11-12,56539051.0
2017-11-19,60287806.0
2017-11-26,68617442.0
2017-12-03,58928749.0
2017-12-10,57072042.0
2017-12-17,54056543.0
2017-12-24,54761038.0
2017-12-31,48689794.0
2018-01-07,62139274.0
2018-01-14,56243081.0
2018-01-21,72677858.0
2018-01-28,67020894.0
2018-02-04,62453003.0
2018-02-11,58488029.0
2018-02-18,54275456.0
2018-02-25,52579230.0
2018-03-04,52664549.0
2018-03-11,45396683.0
2018-03-18,39358794.0
2018-03-25,37549951.0
2018-04-01,37139444.0
2018-04-08,39569709.0
2018-04-15,42504602.0
2018-04-22,42275430.0
2018-04-29,36959841.0
2018-05-06,26463152.0
2018-05-13,52789477.0
2018-05-20,80943018.0
2018-05-27,32735602.0
2018-06-03,26237879.0
2018-06-10,31434467.0
2018-06-17,24916408.0
2018-06-24,27523810.0
2018-07-01,24094518.0
2018-07-08,23327586.0
2018-07-15,23604670.0
2018-07-22,28800400.0
2018-07-29,48876056.0
2018-08-05,45838633.0
2018-08-12,41255672.0
2018-08-19,32161558.0
2018-08-26,35323471.0
2018-09-02,32423865.0
2018-09-09,30828257.0
2018-09-16,33321935.0
2018-09-23,39042427.0
2018-09-30,41929999.0
2018-10-07,34606224.0
2018-10-14,61033032.0
2018-10-21,54723709.0
2018-10-28,62036783.0
2018-11-04,56730197.0
2018-11-11,63185049.0
2018-11-18,84164450.0
2018-11-25,75983461.0
2018-12-02,81130529.0
2018-12-09,70011546.0
2018-12-16,64885717.0
2018-12-23,62033793.0
2018-12-30,42179203.0
2019-01-06,61527786.0
2019-01-13,79746533.0
2019-01-20,89541457.0
2019-01-27,74180206.0
2019-02-03,89323143.0
2019-02-10,107479534.0
2019-02-17,102872292.0
2019-02-24,101711985.0
2019-03-03,90843019.0
2019-03-10,87341369.0
2019-03-17,84901282.0
2019-03-24,85387450.0
2019-03-31,85325891.0
2019-04-07,221743180.0
2019-04-14,178629531.0
2019-04-21,173301202.0
2019-04-28,161770944.0
2019-05-05,157825560.0
2019-05-12,182804819.0
2019-05-19,183886674.0
2019-05-26,203948563.0
2019-06-02,189171065.0
2019-06-09,203776926.0
2019-06-16,177707708.0
2019-06-23,162794012.0
2019-06-30,164847329.0
2019-07-07,150858708.0
2019-07-14,147753021.0
2019-07-21,132577115.5
2019-07-28,122895098.5
2019-08-04,116735351.5
2019-08-11,112758847.5
2019-08-18,113602003.0
2019-08-25,112176593.0
2019-09-01,94433774.5
2019-09-08,126129045.5
2019-09-15,83528342.0
2019-09-22,88460264.0
2019-09-29,87944155.0
2019-10-06,98097248.5
2019-10-13,100350916.5
2019-10-20,134126505.0
2019-10-27,128453445.0
2019-11-03,135948650.0
2019-11-10,135576262.0
2019-11-17,137417689.0
2019-11-24,143567614.0
2019-12-01,139551953.0
2019-12-08,126083844.0
2019-12-15,118607183.0
2019-12-22,118674687.0
2019-12-29,97496877.0
2020-01-05,119247362.0
2020-01-12,132535404.0
2020-01-19,177633287.0
2020-01-26,184023978.0
2020-02-02,195195735.0
2020-02-09,184663396.0
2020-02-16,170656038.0
2020-02-23,229824680.0
2020-03-01,178896422.5
2020-03-08,157082446.0
2020-03-15,153596156.0
2020-03-22,150481320.0
2020-03-29,151890936.0
2020-04-05,147100405.0
2020-04-12,148271094.0
2020-04-19,142392115.0
2020-04-26,144934350.0
2020-05-03,137258021.0
2020-05-10,125272740.0
2020-05-17,117746400.0
2020-05-24,122476035.0
2020-05-31,106978170.0
2020-06-07,104820635.0
2020-06-14,105469239.0
2020-06-21,110178355.0
2020-06-28,105764577.0
2020-07-05,102218293.0
2020-07-12,94538973.0
2020-07-19,91748216.0
2020-07-26,91956836.0
2020-08-02,82663235.0
2020-08-09,127870490.0
2020-08-16,123024301.0
2020-08-23,123147836.0
2020-08-30,119574474.0
2020-09-06,119287997.0
2020-09-13,119130558.0
2020-09-20,125882228.0
2020-09-27,125457917.0
2020-10-04,189660969.0
2020-10-11,135152539.0
2020-10-18,138126413.0
2020-10-25,129949385.0
2020-11-01,121752437.0
2020-11-08,103788392.0
2020-11-15,104003006.0
2020-11-22,144210314.0
2020-11-29,131168751.0
2020-12-06,112308893.0
2020-12-13,105554412.0
2020-12-20,98976741.0
2020-12-27,89647893.0
2021-01-03,102659778.0
2021-01-10,131852328.0
2021-01-17,205416212.0
2021-01-24,214411070.0
2021-01-31,202873045.0
2021-02-07,186628030.0
2021-02-14,173549891.0
2021-02-21,168858553.0
2021-02-28,160603666.0
2021-03-07,161404821.0
2021-03-14,146743053.0
2021-03-21,149988145.0
2021-03-28,130508556.0
2021-04-04,131637593.0
2021-04-11,126946603.0
2021-04-18,119100438.0
2021-04-25,121798471.0
2021-05-02,114153441.0
2021-05-09,165473627.0
2021-05-16,138553655.0
2021-05-23,138570205.0
2021-05-30,197986295.0
2021-06-06,177035328.0
2021-06-13,196788165.0
2021-06-20,189745535.0
2021-06-27,163531959.0
2021-07-04,145066156.0
2021-07-11,156363493.0
2021-07-18,132352972.0
2021-07-25,122373497.0
2021-08-01,101142545.0
2021-08-08,250151805.0
2021-08-15,167502986.0
2021-08-22,126856477.0
2021-08-29,119733126.0
2021-09-05,110975849.0
2021-09-12,99896843.0
2021-09-19,105392561.0
2021-09-26,117999609.0
2021-10-03,113845979.0
2021-10-10,124316616.0
2021-10-17,123346605.0
2021-10-24,124017195.0
2021-10-31,124627424.0
2021-11-07,115714001.0
2021-11-14,102842295.0
2021-11-21,100036999.0
2021-11-28,116205756.0
2021-12-05,114965976.0
2021-12-12,134492742.0
2021-12-19,132256603.0
2021-12-26,115357934.0
2022-01-02,96088032.0
2022-01-09,130646940.0
2022-01-16,134631757.0
2022-01-23,143729598.0
2022-01-30,138193110.0
2022-02-06,132215909.0
2022-02-13,137781366.0
2022-02-20,123240586.0
2022-02-27,124094426.0
2022-03-06,115507955.0
2022-03-13,126100374.0
2022-03-20,127143598.0
2022-03-27,136589272.0
2022-04-03,137278016.0
2022-04-10,111237709.0
2022-04-17,116175422.0
2022-04-24,106096762.0
2022-05-01,102226483.0
2022-05-08,100799217.0
2022-05-15,84559591.0
2022-05-22,77736929.0
2022-05-29,85614815.0
2022-06-05,88354060.0
2022-06-12,81549676.0
2022-06-19,136362463.0
2022-06-26,130134816.0
2022-07-03,131560104.0
2022-07-10,122858326.0
2022-07-17,117933813.0
2022-07-24,115320675.0
2022-07-31,149355922.0
2022-08-07,150067597.0
2022-08-14,153413436.0
2022-08-21,153315791.0
2022-08-28,150449586.0
2022-09-04,154682706.0
2022-09-11,169348121.0
2022-09-18,186225514.0
2022-09-25,176002846.0
2022-10-02,170381747.0
