date,asian_music_total_streams
2017-07-02,3259742.0
2017-09-24,13704874.0
2017-10-01,15792864.0
2017-10-08,6687342.0
2017-10-15,5729133.0
2017-10-22,4994140.0
2017-10-29,4103479.0
2017-12-03,6627272.0
2017-12-10,6463627.0
2017-12-17,5679840.0
2017-12-24,6330947.0
2017-12-31,5479811.0
2018-01-07,5818022.0
2018-01-14,5430313.0
2018-01-21,4816009.0
2018-01-28,4317033.0
2018-05-27,72259778.0
2018-06-03,24913705.0
2018-06-10,9165232.0
2018-06-17,7206787.0
2018-06-24,21110732.0
2018-07-01,12957744.0
2018-07-08,10704577.0
2018-07-15,9985402.0
2018-07-22,9365881.0
2018-07-29,5164764.0
2018-08-05,4827653.0
2018-08-12,4622133.0
2018-08-19,4313966.0
2018-08-26,4019311.0
2018-09-02,33939096.5
2018-09-09,5085111.0
2018-09-16,4872893.0
2018-09-23,4247303.0
2018-10-28,5003165.0
2018-11-11,10625487.0
2018-11-18,8143290.0
2018-11-25,6164961.0
2018-12-02,4602703.0
2019-03-17,4467968.0
2019-04-14,36948708.0
2019-04-21,110108091.0
2019-04-28,65193345.0
2019-05-05,37973002.0
2019-05-12,31259101.0
2019-05-19,28398962.0
2019-05-26,31461149.0
2019-06-02,21021934.0
2019-06-09,17726046.0
2019-06-16,26115887.0
2019-06-23,27687811.0
2019-06-30,24680544.0
2019-07-07,20208636.0
2019-07-14,13876233.0
2019-07-21,13165506.0
2019-07-28,12202976.0
2019-08-04,11698983.0
2019-08-11,11255932.0
2019-08-18,10821742.0
2019-08-25,10347940.0
2019-09-01,5616058.0
2019-09-08,5464453.0
2019-09-15,5285651.0
2019-09-22,4975910.0
2019-09-29,4837076.0
2019-10-06,10854811.0
2019-10-13,10000766.0
2019-10-20,4505200.0
2019-10-27,14757803.0
2019-11-03,9310314.0
2019-11-10,7951668.0
2019-11-17,7193679.0
2019-11-24,5853519.0
2019-12-01,4751305.0
2019-12-15,5203784.0
2019-12-29,5724850.0
2020-01-05,9132322.0
2020-01-12,7646564.0
2020-01-19,7158632.0
2020-01-26,30944291.0
2020-02-02,16995136.0
2020-02-09,15351188.0
2020-02-16,12152201.0
2020-02-23,5998242.0
