date,blues_total_streams
2017-01-01,3254640.0
2017-12-17,3868779.0
2017-12-24,4273261.0
2017-12-31,6181308.0
2018-12-30,7324176.0
2019-04-28,8972171.0
2019-05-05,8838322.0
2019-05-12,10788482.0
2019-05-19,11997661.0
2019-05-26,10324605.0
2019-06-02,10941345.0
2019-06-09,9573496.0
2019-06-16,7929827.0
2019-06-23,6414166.0
2019-06-30,6077196.0
2019-07-07,5659256.0
2019-07-14,5266018.0
2019-07-21,4923437.0
2019-07-28,4644233.0
2019-12-29,7750451.0
2020-08-16,5556471.0
2020-10-04,6819838.0
2020-12-27,8022773.0
2021-12-19,5792144.0
2021-12-26,7298609.0
2022-01-02,7100285.0
2022-12-25,7498347.0
2023-01-01,9243839.0
2023-12-17,11007243.0
2023-12-24,12870426.0
2023-12-31,18101393.0
2024-12-08,9347526.0
2024-12-15,10387031.0
2024-12-22,11315790.0
2024-12-29,20126542.0
