date,bollywood_total_streams
2021-08-22,5527795.0
2021-08-29,16376355.0
2021-09-05,15413238.0
2021-09-12,14643937.0
2021-09-19,13220991.0
2021-09-26,11990249.0
2021-10-03,11095580.0
2021-10-10,10500461.0
2021-10-17,5061933.0
2022-07-24,8988016.0
2022-07-31,12391566.0
2022-08-07,11573115.0
2022-08-14,10934301.0
2022-08-21,9752159.0
2022-08-28,8684376.0
2022-09-04,8143485.0
2022-09-11,8040027.0
2022-09-18,9531712.0
2022-09-25,9149256.0
2022-10-02,9167461.0
2022-10-09,9573382.0
2022-10-16,8260048.0
2022-10-23,7775471.0
2022-10-30,8064521.0
2022-11-06,7345853.0
2022-11-13,7402548.0
2022-11-20,7593508.0
2022-11-27,7396224.0
2022-12-04,7434512.0
2023-01-08,6840658.0
2023-01-15,6739427.0
2023-06-04,9554790.0
2023-06-11,20988955.0
2023-06-18,22474957.0
2023-06-25,20466883.0
2023-07-02,19173125.0
2023-07-09,17607371.0
2023-07-16,8644725.0
2023-07-23,8925339.0
2023-12-10,25245671.0
2023-12-17,26014022.0
2023-12-24,10519825.0
2024-05-26,10532991.0
2024-06-02,10777956.0
2024-06-09,10790941.0
2024-06-16,10867225.0
2024-06-23,10246291.0
2024-06-30,9207280.0
2024-07-07,9007348.0
2024-07-14,8769506.0
