date,contemporary_randb_total_streams
2017-11-26,3416878.0
2017-12-03,3622602.0
2017-12-10,5006863.0
2017-12-17,5753689.0
2017-12-24,6089636.0
2017-12-31,5521074.0
2018-01-07,5834794.0
2018-01-14,6590259.0
2018-01-21,6486945.0
2018-01-28,6822773.0
2018-02-04,6937834.0
2018-02-11,7143348.0
2018-02-18,6757400.0
2018-02-25,20212460.0
2018-03-04,24283993.0
2018-03-11,24215032.0
2018-03-18,24022643.0
2018-03-25,23221670.0
2018-04-01,23903219.0
2018-04-08,23217340.0
2018-04-15,23199737.0
2018-04-22,20042219.0
2018-04-29,30842706.0
2018-05-06,28563759.0
2018-05-13,28983239.0
2018-05-20,28122524.0
2018-05-27,27639619.0
2018-06-03,26338032.0
2018-06-10,24474933.0
2018-06-17,23590550.0
2018-06-24,20117956.0
2018-07-01,17898746.0
2018-07-08,14391377.0
2018-07-15,14293027.0
2018-07-22,14189363.0
2018-07-29,13508821.0
2018-08-05,12530843.0
2018-08-12,11413505.0
2018-08-19,11588736.0
2018-08-26,11284859.0
2018-09-02,10876990.0
2018-09-09,10648693.0
2018-09-16,10672184.0
2018-09-23,10795815.0
2018-09-30,15017857.0
2018-10-07,10623849.0
2018-10-14,10336217.0
2018-10-21,10005289.0
2018-10-28,10368739.0
2018-11-04,9502827.0
2018-11-11,5271906.0
2018-11-18,5084231.0
2018-11-25,4862187.0
2018-12-02,4486276.0
2018-12-16,5249887.0
2018-12-23,4795250.0
2019-01-06,4863267.0
2019-01-13,5046447.0
2019-01-20,5300878.0
2019-01-27,4940975.0
2019-02-03,4814786.0
2019-02-10,4653028.0
2019-04-14,9519434.0
2019-04-21,4856523.0
2019-11-17,4508738.0
2019-11-24,4552432.0
2019-12-01,4757977.0
2019-12-08,5030448.0
2019-12-22,5368278.0
2020-01-05,10690696.0
2020-01-12,14318168.0
2020-01-19,17059296.0
2020-01-26,18127924.0
2020-02-02,19049034.0
2020-02-09,20146913.0
2020-02-16,21229281.0
2020-02-23,21610674.0
2020-03-01,24038629.0
2020-03-08,31106703.0
2020-03-15,31000375.0
2020-03-22,29950758.0
2020-03-29,29899921.0
2020-04-05,30087242.0
2020-04-12,29269044.0
2020-04-19,28554933.0
2020-04-26,28004853.0
2020-05-03,27784962.0
2020-05-10,19832392.0
2020-05-17,19787088.0
2020-05-24,19314303.5
2020-05-31,13798958.0
2020-06-07,12159863.5
2020-06-14,10507216.5
2020-06-21,9832907.5
2020-06-28,8930855.0
2020-07-05,8499720.5
2020-07-12,12112328.0
2020-07-19,10766655.0
2020-07-26,10394597.0
2020-08-02,8765613.0
2020-08-09,8295688.0
2020-08-16,8063795.0
2020-08-23,7597933.0
2020-08-30,7240648.0
2020-09-06,6952960.0
2020-09-13,7049692.0
2020-09-20,6607326.0
2020-09-27,6281258.0
2020-10-04,6026679.0
2020-10-11,5714474.0
2020-10-18,5581852.0
2020-10-25,5521316.0
2020-11-01,5377831.0
2020-11-08,5321051.0
2020-11-15,5074754.0
2020-11-22,4959625.0
2020-11-29,4886071.0
2020-12-06,5411804.0
2020-12-13,6097511.0
2021-01-03,6171907.0
2021-01-10,5875706.0
2021-01-17,5394878.0
2021-01-24,5307571.0
2021-01-31,5243113.0
2021-02-07,5222416.0
2021-02-14,5124947.0
2021-02-21,4908040.0
2021-03-07,4955196.0
2021-03-21,5103528.0
2021-11-14,6796069.0
2021-11-21,6068907.0
2021-11-28,6419709.0
2021-12-05,6539215.0
2021-12-12,6132702.0
2021-12-19,6642189.0
2021-12-26,8429825.0
2022-01-02,8620236.0
2022-01-09,10837037.0
2022-01-16,11344479.0
2022-01-23,12062798.0
2022-01-30,12303839.0
2022-02-06,12426272.0
2022-02-13,12559023.0
2022-02-20,13068770.0
2022-02-27,12746124.0
2022-03-06,12616457.0
2022-03-13,12584698.0
2022-03-20,12941017.0
2022-03-27,13387144.0
2022-04-03,13705657.0
2022-04-10,12849161.0
2022-04-17,13103793.0
2022-04-24,12810575.0
2022-05-01,13233889.0
2022-05-08,13172016.0
2022-05-15,12443866.0
2022-05-22,12294354.0
2022-05-29,11454003.0
2022-06-05,10752758.0
2022-06-12,10571669.0
2022-06-19,10179135.0
2022-06-26,9400129.0
2022-07-03,8775200.0
2022-07-10,7887491.0
2022-07-17,7581340.0
2022-07-24,7336271.0
2022-07-31,7016260.0
2022-08-07,6798955.0
2022-08-14,6771424.0
2022-08-21,6478178.0
2022-08-28,6169754.0
2022-09-04,6076056.0
2022-09-18,5916067.0
