date,dubstep_total_streams
2017-04-16,3719959.0
2017-04-23,5816368.0
2017-04-30,8170373.0
2017-05-07,12568099.0
2017-05-14,15359582.0
2017-05-21,16582749.0
2017-05-28,18515419.0
2017-06-04,19175111.0
2017-06-11,20641204.0
2017-06-18,22421504.0
2017-06-25,23320818.0
2017-07-02,23000310.0
2017-07-09,23218772.0
2017-07-16,23679061.0
2017-07-23,25692670.0
2017-07-30,25237319.0
2017-08-06,24760290.0
2017-08-13,23957823.0
2017-08-20,23469518.0
2017-08-27,23163725.0
2017-09-03,22480426.0
2017-09-10,21214189.0
2017-09-17,20349143.0
2017-09-24,19804468.0
2017-10-01,19085779.0
2017-10-08,18142211.0
2017-10-15,15911570.0
2017-10-22,15188131.0
2017-10-29,14626339.0
2017-11-05,13685437.0
2017-11-12,12853980.0
2017-11-19,12661035.0
2017-11-26,12315631.0
2017-12-03,11414455.0
2017-12-10,10888908.0
2017-12-17,10838856.0
2017-12-24,9800445.0
2017-12-31,8590106.0
2018-01-07,10572262.0
2018-01-14,9806474.0
2018-01-21,8753048.0
2018-01-28,8114606.0
2018-02-04,7578181.0
2018-02-11,7203327.0
2018-02-18,6845722.0
2018-02-25,6805292.0
2018-03-04,6444919.0
2018-03-11,6311753.0
2018-03-18,6075331.0
2018-03-25,5907729.0
2018-04-01,5814582.0
2018-04-08,5749748.0
2018-04-15,5816417.0
2018-04-22,5689696.0
2018-04-29,5689305.0
2018-05-06,5290536.0
2018-05-13,5376136.0
2018-05-20,5041420.0
2018-05-27,4854193.0
2018-06-03,4772896.0
2018-06-10,4763690.0
2018-06-17,4534878.0
2018-06-24,4360217.0
2018-07-01,4491523.0
2018-07-08,4618871.0
2018-07-15,4613803.0
2018-07-22,4494646.0
2018-07-29,4351654.0
2018-08-05,4237054.0
2018-08-12,4179242.0
2018-08-19,3987537.0
2018-08-26,3870972.0
2018-09-02,3944517.0
2018-09-09,3977759.0
2018-09-16,3969261.0
2018-09-23,3962547.0
2018-09-30,4184737.0
2018-10-21,4283251.0
2024-03-10,8902993.0
2024-03-17,9653573.0
2024-03-24,9845123.0
2024-03-31,9775553.0
2024-04-07,9594025.0
2024-04-14,10337470.0
2024-04-21,9538030.0
2024-04-28,9394158.0
2024-05-05,10103080.0
2024-05-12,10179442.0
2024-05-19,10518070.0
2024-05-26,10249912.0
2024-06-02,10952477.0
2024-06-09,11170983.0
2024-06-16,10842143.0
2024-06-23,10356700.0
2024-06-30,10955369.0
2024-07-07,11109866.0
2024-07-14,10391455.0
2024-07-21,10507598.0
2024-07-28,10486664.0
2024-08-04,10325457.0
2024-08-11,10295637.0
2024-08-18,9945441.0
2024-08-25,11205225.0
2024-09-01,10642608.0
2024-09-08,10265296.0
2024-09-15,10302327.0
2024-09-22,9931000.0
2024-09-29,10579303.0
2024-10-06,10341381.0
2024-10-13,9920530.0
2024-10-20,9474300.0
2024-10-27,10079705.0
2024-11-03,9212114.0
2024-11-10,8877789.0
2025-02-09,10063691.0
2025-02-16,9175045.0
2025-03-09,8024969.0
2025-03-16,8452867.0
