date,electro_total_streams
2017-01-01,70497393.0
2017-01-08,87486937.0
2017-01-15,87471433.0
2017-01-22,83987031.0
2017-01-29,79113186.0
2017-02-05,90730779.0
2017-02-12,89360732.0
2017-02-19,86446595.0
2017-02-26,82011571.0
2017-03-05,93069039.0
2017-03-12,90900397.0
2017-03-19,99579287.0
2017-03-26,85921616.0
2017-04-02,83150452.0
2017-04-09,85589576.0
2017-04-16,85029586.0
2017-04-23,91918233.0
2017-04-30,86177033.0
2017-05-07,80920143.0
2017-05-14,84386645.0
2017-05-21,78759378.0
2017-05-28,75078564.0
2017-06-04,85035803.0
2017-06-11,87547238.0
2017-06-18,90133599.0
2017-06-25,134973768.0
2017-07-02,136928040.0
2017-07-09,146126888.0
2017-07-16,142298605.0
2017-07-23,140017118.0
2017-07-30,128507061.0
2017-08-06,131337418.0
2017-08-13,127670202.0
2017-08-20,132090014.0
2017-08-27,130842988.0
2017-09-03,124735822.0
2017-09-10,123218432.0
2017-09-17,116191315.0
2017-09-24,113115411.0
2017-10-01,112131686.0
2017-10-08,89962283.0
2017-10-15,84513483.0
2017-10-22,81412085.0
2017-10-29,85720664.0
2017-11-05,78023854.0
2017-11-12,72545388.0
2017-11-19,64957567.0
2017-11-26,68527033.0
2017-12-03,65854300.0
2017-12-10,64500674.0
2017-12-17,57724620.0
2017-12-24,44383337.0
2017-12-31,40376665.0
2018-01-07,58807205.0
2018-01-14,53087960.0
2018-01-21,46681404.0
2018-01-28,48637548.0
2018-02-04,54205693.0
2018-02-11,44913500.0
2018-02-18,38885614.0
2018-02-25,46132574.0
2018-03-04,44454782.0
2018-03-11,54428830.0
2018-03-18,56782902.0
2018-03-25,61354818.0
2018-04-01,60470861.0
2018-04-08,54842738.0
2018-04-15,56186113.0
2018-04-22,57675678.0
2018-04-29,48344882.0
2018-05-06,45112486.0
2018-05-13,45246638.0
2018-05-20,42660279.0
2018-05-27,41807874.0
2018-06-03,41044343.0
2018-06-10,39445918.0
2018-06-17,45863887.0
2018-06-24,56879829.0
