date,indie_pop_total_streams
2017-01-01,14072015.0
2017-01-08,18342243.0
2017-01-15,18870068.0
2017-01-22,26142534.0
2017-01-29,23243111.0
2017-02-05,23019581.0
2017-02-12,19525709.0
2017-02-19,26615290.0
2017-02-26,21277991.0
2017-03-05,20512828.0
2017-03-12,36622682.0
2017-03-19,30943763.0
2017-03-26,21695414.0
2017-04-02,15851690.0
2017-04-09,21141205.0
2017-04-16,20145329.0
2017-04-23,17594652.0
2017-04-30,16618385.0
2017-05-07,16075141.0
2017-05-14,14318578.0
2017-05-21,17135119.0
2017-05-28,17572036.0
2017-06-04,16268454.0
2017-06-11,15088592.0
2017-06-18,10962341.0
2017-06-25,7829911.0
2017-07-02,10588768.0
2017-07-09,22686374.0
2017-07-16,17618600.0
2017-07-23,16219899.0
2017-07-30,10984017.0
2017-08-06,13753618.0
2017-08-13,13021474.0
2017-08-20,8673750.0
2017-08-27,10841572.0
2017-09-03,7329480.0
2017-09-10,3353542.0
2017-09-17,6538244.0
2017-10-08,3893380.0
2017-10-15,7216181.0
2017-10-22,7861539.0
2017-10-29,9028850.0
2017-11-05,9229374.0
2017-11-12,11930654.0
2017-11-19,13594900.0
2017-11-26,14142139.0
2017-12-03,13437067.0
2017-12-10,10487594.0
2017-12-17,10074025.0
2017-12-24,12149414.0
2017-12-31,10127160.0
2018-01-07,15991815.0
2018-01-14,14134442.0
2018-01-21,13736849.0
2018-01-28,12715329.0
2018-02-04,11423813.0
2018-02-11,9918107.0
2018-02-18,12214390.0
2018-02-25,11558453.0
2018-03-04,11206633.0
2018-03-11,10427276.0
2018-03-18,9654415.0
2018-03-25,9350689.0
2018-04-01,9318598.0
2018-04-08,8815637.0
2018-04-15,16153521.0
2018-04-22,20102807.0
2018-04-29,14904783.0
2018-05-06,4688527.0
2018-05-13,26848438.0
2018-05-20,18234594.0
2018-05-27,16266683.0
2018-06-03,10063436.0
2018-06-10,10012531.0
2018-06-17,9225680.0
2018-06-24,8004936.0
2018-07-01,3869753.0
2018-07-08,3911238.0
2018-07-15,3942533.0
2018-07-22,4037172.0
2018-07-29,4291194.0
2018-08-05,4195948.0
2018-08-12,4229709.0
2018-08-19,4200290.0
2018-08-26,4127650.0
2018-09-02,4292490.0
2018-09-09,4218597.0
2018-09-16,4307662.0
2018-09-23,4301297.0
2018-09-30,4298861.0
2018-10-07,4284228.0
2018-10-14,19526004.0
2018-10-21,8308402.0
2018-10-28,8983008.0
2018-11-04,8606181.0
2018-11-11,9293308.0
2018-11-18,8901545.0
2018-11-25,4370709.0
2018-12-02,4308775.0
2019-01-06,4309033.0
2019-01-13,4350758.0
2019-01-20,4553091.0
2019-01-27,4551052.0
2019-02-03,4498976.0
2019-02-17,9501356.0
2019-02-24,4572529.0
2019-03-24,4373480.0
2019-03-31,4488346.0
2019-04-21,7101558.0
2019-04-28,11094942.0
2019-05-05,11183529.0
2019-05-12,39038918.0
2019-05-19,40527427.0
2019-05-26,36400178.0
2019-06-02,36714560.0
2019-06-09,34119472.0
2019-06-16,26180038.0
2019-06-23,29420871.0
2019-06-30,28881593.0
2019-07-07,27273559.0
2019-07-14,20038990.0
2019-07-21,19220618.0
2019-07-28,18282863.0
2019-08-04,17660826.0
2019-08-11,17525028.0
2019-08-18,16821610.0
2019-08-25,15962708.0
2019-09-01,13694716.0
2019-09-08,13506325.0
2019-09-15,8445093.0
2019-09-22,8158364.0
2019-09-29,12448529.0
2019-10-06,12155337.0
2019-10-13,11638140.0
2019-10-20,37905792.0
2019-10-27,31206068.0
2019-11-03,33740342.0
2019-11-10,28470801.0
2019-11-17,30347884.0
2019-11-24,32470498.0
2019-12-01,31272339.0
2019-12-08,21945438.0
2019-12-15,15819053.0
2019-12-22,21519260.0
2019-12-29,9674765.0
2020-01-05,13464436.0
2020-01-12,13375321.0
2020-01-19,12877708.0
2020-01-26,12143278.0
2020-02-02,11745250.0
2020-02-09,11507112.0
2020-02-16,11071317.0
2020-02-23,10884113.0
2020-03-01,10644015.0
2020-03-08,5788003.0
2020-03-15,5396798.0
2020-03-22,5072145.0
2020-03-29,9620697.0
2020-04-05,4772728.0
2020-04-12,9148315.0
2020-04-19,8900601.0
2020-04-26,8862063.0
2020-05-03,8697574.0
2020-05-10,4385384.0
2020-05-17,4316119.0
2020-05-24,15983232.0
2020-05-31,14405876.0
2020-06-07,18361261.0
2020-06-14,19846142.0
2020-06-21,15976075.0
2020-06-28,15341788.0
2020-07-05,14898717.0
2020-07-12,9557505.0
2020-07-19,8850868.0
2020-07-26,8397095.0
2020-08-02,7543968.0
2020-08-09,14352705.0
2020-08-16,13536743.0
2020-08-23,12836932.0
2020-08-30,11150090.0
2020-09-06,5427778.0
2020-09-13,5218173.0
2020-09-20,4988712.0
2020-09-27,4857302.0
2020-10-04,4945767.0
2020-10-18,9335497.0
2020-10-25,9489799.0
2020-11-01,4709053.0
2020-11-22,35380663.0
2020-11-29,30419033.0
2020-12-06,24602518.0
2020-12-13,21602744.0
2020-12-20,19351242.0
2020-12-27,17792094.0
2021-01-03,16037285.0
2021-01-10,15928423.0
2021-01-17,82531726.0
2021-01-24,96286980.0
2021-01-31,79160110.0
2021-02-07,68011747.0
2021-02-14,61051092.0
2021-02-21,59709970.0
2021-02-28,51799841.0
2021-03-07,48296691.0
2021-03-14,45009026.0
2021-03-21,41461200.0
2021-03-28,38651663.0
2021-04-04,35635240.0
2021-04-11,33496578.0
2021-04-18,31582119.0
2021-04-25,29757652.0
2021-05-02,28358610.0
2021-05-09,32295107.0
2021-05-16,31295662.0
2021-05-23,43962860.0
2021-05-30,98110746.0
2021-06-06,87653035.0
2021-06-13,83577783.0
2021-06-20,70952546.0
2021-06-27,62184231.0
2021-07-04,59209815.0
2021-07-11,57512374.0
2021-07-18,58358946.0
