date,indie_rock_total_streams
2017-01-01,5332630.0
2017-01-08,5918973.0
2017-01-15,6431796.0
2017-01-22,10287534.0
2017-01-29,10465958.0
2017-02-05,10579784.0
2017-02-12,10608751.0
2017-02-19,17853274.0
2017-02-26,15817264.0
2017-03-05,15716244.0
2017-03-12,31869534.0
2017-03-19,26772682.0
2017-03-26,21695414.0
2017-04-02,15851690.0
2017-04-09,14315581.0
2017-04-16,13711336.0
2017-04-23,12291377.0
2017-04-30,11777792.0
2017-05-07,11381404.0
2017-05-14,11068014.0
2017-05-21,7322953.0
2017-05-28,6930572.0
2017-06-04,6488716.0
2017-06-11,6429862.0
2017-06-18,3110391.0
2017-07-02,3271862.0
2017-07-09,6876426.0
2017-07-16,7397259.0
2017-07-23,7339230.0
2017-07-30,4021055.0
2017-08-06,7264250.0
2017-08-13,7005207.0
2017-08-20,3937923.0
2017-08-27,6878177.0
2017-09-03,3651671.0
2017-09-17,6538244.0
2017-10-08,3893380.0
2017-10-15,7216181.0
2017-10-22,7861539.0
2017-10-29,9028850.0
2017-11-05,9229374.0
2017-11-12,11930654.0
2017-11-19,13594900.0
2017-11-26,14142139.0
2017-12-03,13437067.0
2017-12-10,10487594.0
2017-12-17,10074025.0
2017-12-24,12149414.0
2017-12-31,10127160.0
2018-01-07,15991815.0
2018-01-14,14134442.0
2018-01-21,13736849.0
2018-01-28,12715329.0
2018-02-04,11423813.0
2018-02-11,9918107.0
2018-02-18,12214390.0
2018-02-25,11558453.0
2018-03-04,11206633.0
2018-03-11,10427276.0
2018-03-18,9654415.0
2018-03-25,9350689.0
2018-04-01,9318598.0
2018-04-08,8815637.0
2018-04-15,8769225.0
2018-04-22,8694382.0
2018-04-29,4272263.0
2018-05-13,4055119.0
2018-05-27,4152951.0
2018-06-03,4188091.0
2018-06-10,4185018.0
2018-06-17,4336999.0
2018-06-24,3978823.0
2018-07-01,3869753.0
2018-07-08,3911238.0
2018-07-15,3942533.0
2018-07-22,4037172.0
2018-07-29,4291194.0
2018-08-05,11617640.0
2018-08-12,8836384.0
2018-08-19,4200290.0
2018-08-26,4127650.0
2018-09-02,4292490.0
2018-09-09,4218597.0
2018-09-16,4307662.0
2018-09-23,4301297.0
2018-09-30,4298861.0
2018-10-07,4284228.0
2018-10-14,19526004.0
2018-10-21,4357404.0
2018-10-28,4311465.0
2018-11-04,4338658.0
2018-11-11,4329321.0
2018-11-18,4429122.0
2018-11-25,4370709.0
2018-12-02,4308775.0
2019-01-06,4309033.0
2019-01-13,4350758.0
2019-01-20,4553091.0
2019-01-27,4551052.0
2019-02-03,4498976.0
2019-02-17,9501356.0
2019-02-24,4572529.0
2019-03-24,4373480.0
2019-03-31,4488346.0
2019-04-28,4439245.0
2019-05-05,4297558.0
2019-05-12,4357772.0
2019-05-19,4524214.0
2019-05-26,4611344.0
2019-06-02,4648916.0
2019-06-09,4513474.0
2019-06-23,4535784.0
2019-06-30,4595807.0
2019-07-07,4687079.0
2019-07-14,4558592.0
2019-07-21,4604947.0
2019-07-28,4570494.0
2019-08-04,4559607.0
2019-08-11,4530072.0
2019-08-18,4548663.0
2019-08-25,4527270.0
2019-09-01,4534507.0
2019-09-08,4517948.0
2019-09-29,4433332.0
2019-10-06,4528974.0
2019-10-13,4477934.0
2019-10-20,4473125.0
2019-10-27,4424831.0
2019-11-03,9468798.0
2019-11-10,6892335.0
2019-11-17,10422583.0
2019-11-24,9962810.0
2019-12-01,11483598.0
2019-12-08,5402485.0
2020-10-18,4686211.0
2020-10-25,4558199.0
2021-02-21,4902737.0
2021-05-09,5244306.0
2021-05-16,5411960.0
2021-05-23,5623230.0
2021-05-30,10969468.0
2021-06-06,11379763.0
2021-06-13,11328324.0
2021-06-20,6014942.0
2021-06-27,5985171.0
2021-07-04,6473757.0
2021-07-11,6423678.0
2021-07-18,11264459.0
2021-07-25,6289701.0
2021-08-01,5848466.0
2021-08-08,5697339.0
2021-08-15,5655164.0
2021-08-22,5573539.0
2021-10-03,5061858.0
2021-10-10,4967495.0
2023-02-26,7960809.0
2023-03-05,12709530.0
2023-03-12,11111302.0
2023-03-19,10539887.0
2023-03-26,9984927.0
2023-04-02,8497375.0
2023-04-09,8068877.0
2023-04-16,8065888.0
2023-04-23,7579990.0
2023-05-07,7526476.0
2023-05-14,8246873.0
2023-05-21,8552818.0
2023-05-28,8563381.0
2023-06-04,8253061.0
2023-09-17,9852032.0
2024-09-01,11996486.0
2024-09-08,24315594.0
2024-09-15,10077440.0
2024-10-13,9105265.0
2024-10-20,8770734.0
2024-10-27,9203834.0
2024-11-03,9032914.0
