date,indie_rock_rock_pop_total_streams
2017-07-02,3271862.0
2017-07-09,3832385.0
2017-07-16,4331672.0
2017-07-23,4326496.0
2017-07-30,4021055.0
2017-08-06,4235874.0
2017-08-13,4029376.0
2017-08-20,3937923.0
2017-08-27,3836009.0
2017-09-03,3651671.0
2018-01-21,6402322.0
2018-01-28,4981330.0
2018-02-04,4241286.0
2018-02-11,3898156.0
2019-02-17,4878588.0
2020-01-19,39404104.0
2020-01-26,34200687.0
2020-02-02,30860993.0
2020-02-09,28592972.0
2020-02-16,28155037.0
2020-02-23,24528817.0
2020-03-01,13774066.5
2020-03-08,12448509.0
2020-03-15,16868529.0
2020-03-22,14895843.0
2020-03-29,13229303.0
2020-04-05,12594676.0
2020-04-12,13260744.0
2020-04-19,13062517.0
2020-04-26,12626651.0
2020-05-03,12053518.0
2020-05-10,12199736.0
2020-05-17,11446205.0
2020-05-24,13808962.0
2020-05-31,12306604.0
2020-06-07,11952336.0
2020-06-14,11452084.0
2020-06-21,11213106.0
2020-06-28,9844836.0
2020-07-05,9093197.0
2020-07-12,8741325.0
2020-07-19,8257745.0
2020-07-26,8419160.0
2020-08-02,7777915.0
2020-08-09,7572629.0
2020-08-16,13117820.0
2020-08-23,7443822.0
2020-08-30,7102349.0
2020-09-06,7003295.0
2020-09-13,6780624.0
2020-09-20,6706420.0
2020-09-27,6576416.0
2020-10-04,13452579.0
2020-10-11,6535260.0
2020-10-18,6526684.0
2020-10-25,6487075.0
2020-11-01,6416949.0
2020-11-08,6274860.0
2020-11-15,6181565.0
2020-11-22,6221319.0
2020-11-29,6207775.0
2020-12-06,6641230.0
2020-12-13,7253571.0
2020-12-20,6731252.0
2020-12-27,6981029.0
2021-01-03,6608227.0
2021-01-10,6525397.0
2021-01-17,6655266.0
2021-01-24,6492726.0
2021-01-31,6468256.0
2021-02-07,6435282.0
2021-02-14,6229126.0
2021-02-21,6062353.0
2021-02-28,6258612.0
2021-03-07,6206429.0
2021-03-14,6334349.0
2021-03-21,5985206.0
2021-03-28,5837048.0
2021-04-04,5925238.0
2021-04-11,5706795.0
2021-04-18,5543222.0
2021-04-25,5464303.0
2021-05-02,5453035.0
2021-05-09,5388956.0
2021-05-16,5241227.0
2024-11-03,12014542.0
2024-11-10,9593916.0
