date,international_pop_total_streams
2017-01-01,30216922.0
2017-01-08,32242181.0
2017-01-15,31684339.0
2017-01-22,33097052.0
2017-01-29,31032141.0
2017-02-05,28611377.0
2017-02-12,26546259.0
2017-02-19,25011875.0
2017-02-26,23548631.0
2017-03-05,18866005.0
2017-03-12,14240125.0
2017-03-19,15862461.0
2017-03-26,14769259.0
2017-04-02,12754106.0
2017-04-09,10670621.0
2017-04-16,9432743.0
2017-04-23,7657399.0
2017-04-30,10524413.0
2017-05-07,9864703.0
2017-05-14,6539456.0
2017-05-21,9987708.0
2017-05-28,10758238.0
2017-06-04,10673317.0
2017-06-11,9811643.0
2017-06-18,9280619.0
2017-06-25,9101793.0
2017-07-02,8735089.0
2017-07-09,8299203.0
2017-07-16,16800669.0
2017-07-23,14763558.0
2017-07-30,11277996.0
2017-08-06,14066272.0
2017-08-13,11109714.0
2017-08-20,22295011.0
2017-08-27,25376784.0
2017-09-03,27917858.0
2017-09-10,28709027.0
2017-09-17,28772143.0
2017-09-24,28521189.0
2017-10-01,24908986.0
2017-10-08,23630524.0
2017-10-15,23109852.0
2017-10-22,23456990.0
2017-10-29,23362728.0
2017-11-05,24000727.0
2017-11-12,23341003.0
2017-11-19,23012925.0
2017-11-26,22240186.0
2017-12-03,18550749.0
2017-12-10,17813213.0
2017-12-17,16335557.0
2017-12-24,16008640.0
2017-12-31,13966393.0
2018-01-07,15112294.0
2018-01-14,15361344.0
2018-01-21,14092774.0
2018-01-28,13231299.0
2018-02-04,12381234.0
2018-02-11,11454195.0
2018-02-18,10439664.0
2018-02-25,10256888.0
2018-03-04,9661189.0
2018-03-11,9329269.0
2018-03-18,8367816.0
2018-03-25,7592758.0
2018-04-01,11784603.0
2018-04-08,10566598.0
2018-04-15,10709564.0
2018-04-22,10656718.0
2018-04-29,6360096.0
2018-05-06,6005417.0
2018-05-13,6062520.0
2018-05-20,5762539.0
2018-05-27,5617805.0
2018-06-03,5604901.0
2018-06-10,5461363.0
2018-06-17,5091716.0
2018-06-24,4734760.0
2018-07-01,4587921.0
2018-07-08,4457146.0
2018-07-15,4399167.0
2018-07-22,4239465.0
2018-07-29,4195856.0
2018-08-05,4191269.0
2018-08-12,4111998.0
2018-08-19,4025097.0
2018-08-26,4008044.0
2018-09-02,3983161.0
2018-09-09,3949272.0
2018-09-16,3951525.0
2018-09-23,4159196.0
2018-09-30,4358669.0
2018-10-07,4393602.0
2018-10-14,4436506.0
2018-10-21,4438146.0
2018-10-28,4468687.0
2018-11-04,4325701.0
2018-11-11,4302026.0
2018-11-25,4110457.0
2019-01-13,4094264.0
2019-02-10,5558320.0
2019-02-17,10069237.0
2019-02-24,4816154.0
2019-03-03,4563421.0
2019-04-07,12456504.0
2019-04-14,11734134.0
2019-04-21,11331613.0
2019-04-28,10277117.0
2019-05-05,17470413.0
2019-05-12,19643527.0
2019-05-19,22815310.0
2019-05-26,23473372.0
2019-06-02,25523996.0
2019-06-09,25571966.0
2019-06-16,24883136.0
2019-06-23,25261843.0
2019-06-30,25941337.0
2019-07-07,26569274.0
2019-07-14,24975462.0
2019-07-21,23979094.0
2019-07-28,22739338.0
2019-08-04,21902239.0
2019-08-11,21244748.0
2019-08-18,19672488.0
2019-08-25,19274204.0
2019-09-01,17730569.0
2019-09-08,16914981.0
2019-09-15,14993909.0
2019-09-22,14817582.0
2019-09-29,14276362.0
2019-10-06,13301273.0
2019-10-13,7389294.0
2019-10-20,7091123.0
2019-10-27,6613071.0
2019-11-03,6379169.0
2019-11-10,6138845.0
2019-11-17,6066956.0
2019-11-24,6152147.0
2019-12-01,5822242.0
2019-12-08,5828354.0
2019-12-15,6501586.0
2019-12-22,6051721.0
2019-12-29,5980685.0
2020-01-05,6553879.0
2020-01-12,5798744.0
2020-01-19,5637439.0
2020-01-26,5442011.0
2020-02-02,5563222.0
2020-02-09,5294738.0
2020-02-16,4961249.0
2020-03-22,5175757.0
2020-03-29,5339079.0
2020-04-05,5381021.0
2020-04-12,5401769.0
2020-04-19,5153146.0
2020-04-26,5590184.0
2020-05-03,5241650.0
2020-05-10,5123667.0
2020-05-17,4876645.0
2020-05-24,4753707.0
2020-05-31,4636601.0
2020-06-07,4613164.0
2020-06-14,4644762.0
2020-06-21,4551940.0
2020-06-28,4356213.0
2021-04-18,6523807.0
2021-04-25,7390078.0
2021-05-02,7414532.0
2021-05-09,7474473.0
2021-05-16,7433141.0
2021-05-23,7642088.0
2021-05-30,7462027.0
2021-06-06,6982159.0
2021-06-13,6828376.0
2021-06-20,6604058.0
2021-06-27,6687423.0
2021-07-04,6462002.0
2021-07-11,6273397.0
2021-07-18,6098705.0
2021-07-25,5906324.0
2021-08-01,5914661.0
2021-08-08,5688920.0
2021-08-15,5721924.0
2021-08-22,5676012.0
2021-08-29,5744457.0
2021-09-05,5878089.0
2021-09-12,5574395.0
2021-09-19,5744049.0
2021-09-26,5801692.0
2021-10-03,5660310.0
2021-10-10,5702782.0
2021-10-17,5871220.0
2021-10-24,90935367.0
2021-10-31,63343592.0
2021-11-07,52181254.0
2021-11-14,47408611.0
2021-11-21,45279640.0
2021-11-28,274366192.0
2021-12-05,135090419.0
2021-12-12,76290039.0
2021-12-19,56562866.0
2021-12-26,46807517.0
2022-01-02,42387487.0
2022-01-09,43191837.0
2022-01-16,44268139.0
2022-01-23,51469307.0
2022-01-30,52057141.0
2022-02-06,51625874.0
2022-02-13,49897369.0
2022-02-20,47944597.0
2022-02-27,44264591.0
2022-03-06,42078673.0
2022-03-13,41221927.0
2022-03-20,41827913.0
2022-03-27,41644855.0
