date,metal_total_streams
2021-05-30,6277641.0
2022-07-10,14802956.0
2022-07-17,16064478.0
2022-07-24,13048586.0
2022-07-31,10613019.0
2022-08-07,9736294.0
2022-08-14,8571810.0
2022-08-21,7482906.0
2022-08-28,6705858.0
2022-09-04,6228858.0
2024-06-23,8758183.0
2024-06-30,9112819.0
2024-07-07,8997253.0
2024-07-14,8556508.0
2024-07-21,9299066.0
2024-07-28,9197949.0
2024-08-11,8903836.0
2024-08-18,9404866.0
2024-08-25,9863584.0
2024-09-01,9010267.0
2024-09-08,9406478.0
2024-09-15,9686823.0
2025-03-23,11762783.0
