date,pop_total_streams
2017-01-01,419760839.0
2017-01-08,454410029.0
2017-01-15,531595836.0
2017-01-22,530294508.0
2017-01-29,535416811.0
2017-02-05,536068144.0
2017-02-12,528316084.0
2017-02-19,542869337.0
2017-02-26,546290723.0
2017-03-05,556421325.0
2017-03-12,663936112.0
2017-03-19,641176212.0
2017-03-26,574212912.0
2017-04-02,558225667.0
2017-04-09,543994857.0
2017-04-16,530601589.0
2017-04-23,544377056.0
2017-04-30,590223706.0
2017-05-07,594674812.0
2017-05-14,585559711.0
2017-05-21,661805551.0
2017-05-28,675813726.0
2017-06-04,657578939.0
2017-06-11,626849124.0
2017-06-18,629143013.0
2017-06-25,643434578.0
2017-07-02,623544721.0
2017-07-09,645506391.0
2017-07-16,652325417.0
2017-07-23,636574328.0
2017-07-30,664739373.0
2017-08-06,653251119.0
2017-08-13,627614589.0
2017-08-20,619777809.0
2017-08-27,607589401.5
2017-09-03,572159157.0
2017-09-10,597393638.0
2017-09-17,631284560.0
2017-09-24,621789023.0
2017-10-01,600405558.0
2017-10-08,583211535.0
2017-10-15,585508794.5
2017-10-22,576277287.0
2017-10-29,575952833.5
2017-11-05,578864923.5
2017-11-12,605771669.5
2017-11-19,583573406.5
2017-11-26,581519650.5
2017-12-03,550731491.5
2017-12-10,544318477.0
2017-12-17,531037035.5
2017-12-24,518036759.0
2017-12-31,511838670.0
2018-01-07,539861413.0
2018-01-14,569075273.0
2018-01-21,636851656.0
2018-01-28,590027686.0
2018-02-04,575486165.0
2018-02-11,577039147.0
2018-02-18,544934095.0
2018-02-25,536573795.0
2018-03-04,542513651.0
2018-03-11,551761831.0
2018-03-18,533827180.0
2018-03-25,591180920.0
2018-04-01,577611521.0
2018-04-08,526651680.0
2018-04-15,545337178.0
2018-04-22,543398885.0
2018-04-29,482587501.0
2018-05-06,508636232.0
2018-05-13,528637380.0
2018-05-20,496460426.0
2018-05-27,507142278.0
2018-06-03,497157326.0
2018-06-10,522814215.0
2018-06-17,518296535.0
2018-06-24,549020958.0
2018-07-01,566181134.0
2018-07-08,516459064.5
2018-07-15,502963449.0
2018-07-22,547182625.0
2018-07-29,533412605.5
2018-08-05,526391306.5
2018-08-12,499326623.5
2018-08-19,478724574.5
2018-08-26,601027822.5
2018-09-02,517000688.5
2018-09-09,482406778.0
2018-09-16,501694458.0
2018-09-23,472616571.5
2018-09-30,464960363.0
2018-10-07,440251516.5
2018-10-14,428415489.5
2018-10-21,429588454.0
2018-10-28,454799986.0
2018-11-04,470545781.0
2018-11-11,492355117.0
2018-11-18,503306410.0
2018-11-25,499537084.0
2018-12-02,453411395.0
2018-12-09,472954565.0
2018-12-16,545391076.0
2018-12-23,489763204.0
2018-12-30,496237004.0
2019-01-06,441212214.0
2019-01-13,453613948.0
2019-01-20,485363215.0
2019-01-27,548664357.0
2019-02-03,523432725.0
2019-02-10,525056306.0
2019-02-17,748693623.0
2019-02-24,626171182.0
2019-03-03,567653298.0
2019-03-10,566854859.0
2019-03-17,561690983.0
2019-03-24,555631057.0
2019-03-31,558978772.0
2019-04-07,546422729.0
2019-04-14,516569964.5
2019-04-21,515333977.0
2019-04-28,501573430.5
2019-05-05,518789308.0
2019-05-12,534251538.0
2019-05-19,566421031.0
2019-05-26,533957373.0
2019-06-02,552751559.5
2019-06-09,559658146.5
2019-06-16,499384356.5
2019-06-23,487154529.5
2019-06-30,527192212.5
2019-07-07,562659298.0
2019-07-14,533283795.0
2019-07-21,475222709.0
2019-07-28,478004326.5
2019-08-04,451058615.0
2019-08-11,488241148.5
2019-08-18,487071116.0
2019-08-25,523224841.0
2019-09-01,553962725.5
2019-09-08,526151145.5
2019-09-15,519964411.0
2019-09-22,532020412.5
2019-09-29,530644755.5
2019-10-06,494463300.5
2019-10-13,569453282.0
2019-10-20,597132874.5
2019-10-27,579147205.0
2019-11-03,584678586.0
2019-11-10,550268579.0
2019-11-17,535186417.0
2019-11-24,548048054.5
2019-12-01,529870867.5
2019-12-08,510486048.0
2019-12-15,557810810.0
2019-12-22,629024721.0
2019-12-29,557556519.0
2020-01-05,511947396.5
2020-01-12,560098383.0
2020-01-19,635591948.0
2020-01-26,547249673.5
2020-02-02,541576255.0
2020-02-09,535022181.0
2020-02-16,533591519.5
2020-02-23,534568983.0
2020-03-01,508339525.5
2020-03-08,505053032.0
2020-03-15,518993224.0
2020-03-22,475835262.0
2020-03-29,467496766.0
2020-04-05,469945719.0
2020-04-12,481049955.5
2020-04-19,453215109.5
2020-04-26,447961355.5
2020-05-03,468803566.0
2020-05-10,427988538.5
2020-05-17,465846000.0
2020-05-24,486561328.5
2020-05-31,536258496.0
2020-06-07,621378728.5
2020-06-14,539643052.5
2020-06-21,545954374.5
2020-06-28,542129869.0
2020-07-05,532187313.0
2020-07-12,479421874.5
2020-07-19,471133748.5
2020-07-26,515425328.0
2020-08-02,534847317.0
2020-08-09,503444952.0
2020-08-16,483125981.5
2020-08-23,490568538.5
2020-08-30,514429079.5
2020-09-06,532238750.5
2020-09-13,504700439.5
2020-09-20,476607664.0
2020-09-27,500875542.0
2020-10-04,501711893.0
2020-10-11,488046980.0
2020-10-18,499548996.0
2020-10-25,518493977.0
2020-11-01,542789192.0
2020-11-08,663403254.0
2020-11-15,580434895.5
2020-11-22,575409755.0
2020-11-29,588102902.0
2020-12-06,576107590.5
2020-12-13,597674775.5
2020-12-20,584687956.0
2020-12-27,691553449.0
2021-01-03,576905738.0
2021-01-10,505727421.0
2021-01-17,587825260.0
2021-01-24,630684133.0
2021-01-31,611903612.0
2021-02-07,574736769.0
2021-02-14,572063242.0
2021-02-21,612443461.0
2021-02-28,625507932.0
2021-03-07,611889470.0
2021-03-14,629534868.0
2021-03-21,613715034.0
2021-03-28,779228593.0
2021-04-04,747366978.0
2021-04-11,782041966.0
2021-04-18,782406810.0
2021-04-25,755582405.0
2021-05-02,756184085.0
2021-05-09,702550581.0
2021-05-16,687004632.0
2021-05-23,709470249.0
2021-05-30,896334070.0
2021-06-06,910708137.0
2021-06-13,888119869.0
2021-06-20,837129567.0
2021-06-27,804865513.0
2021-07-04,892986807.0
2021-07-11,851195285.0
2021-07-18,874814267.0
2021-07-25,873766677.0
2021-08-01,938312673.0
2021-08-08,921678466.0
2021-08-15,924410709.0
2021-08-22,928874648.0
2021-08-29,893692094.0
2021-09-05,846703234.0
2021-09-12,847289313.0
2021-09-19,839855319.0
2021-09-26,958981357.0
2021-10-03,848476259.0
2021-10-10,813577907.0
2021-10-17,810936964.0
2021-10-24,943852146.0
2021-10-31,880414104.0
2021-11-07,829928526.0
2021-11-14,776413360.0
2021-11-21,752580356.0
2021-11-28,965147438.0
2021-12-05,870837804.0
2021-12-12,862577630.0
2021-12-19,824921399.0
2021-12-26,849195643.0
2022-01-02,793679711.0
2022-01-09,751656490.0
2022-01-16,734994328.0
2022-01-23,755313143.0
2022-01-30,745716294.0
2022-02-06,767682708.0
2022-02-13,800264031.0
2022-02-20,805559887.0
2022-02-27,778541847.0
2022-03-06,722751052.0
2022-03-13,721502259.0
2022-03-20,735322487.0
2022-03-27,757007287.0
2022-04-03,752457512.0
2022-04-10,850016903.0
2022-04-17,819231347.0
2022-04-24,803509856.0
2022-05-01,802496032.0
2022-05-08,793825872.0
2022-05-15,755758355.0
2022-05-22,718915214.0
2022-05-29,1083655455.0
2022-06-05,933488862.0
2022-06-12,929616127.0
2022-06-19,867576649.0
2022-06-26,841290141.0
2022-07-03,790763779.0
2022-07-10,786856090.0
2022-07-17,765829799.0
2022-07-24,760597962.0
2022-07-31,748219093.0
2022-08-07,909651100.0
2022-08-14,839278811.0
2022-08-21,807037945.0
2022-08-28,841188157.0
2022-09-04,832054165.0
2022-09-11,815485480.0
2022-09-18,790171694.0
2022-09-25,870645266.0
2022-10-02,849034742.0
2022-10-09,799703496.0
2022-10-16,783183932.0
2022-10-23,763169227.0
2022-10-30,765438680.0
2022-11-06,741639055.0
2022-11-13,602096188.0
2022-11-20,604582639.0
2022-11-27,624340704.0
2022-12-04,667309689.0
2022-12-11,694373634.0
2022-12-18,759663691.0
2022-12-25,775123821.0
2023-01-01,806193825.0
2023-01-08,732353052.0
2023-01-15,695084922.0
2023-01-22,848514943.0
2023-01-29,863835614.0
2023-02-05,847174680.0
2023-02-12,823362795.0
2023-02-19,858955031.0
2023-02-26,766198217.0
2023-03-05,708098127.0
2023-03-12,664137987.0
2023-03-19,730752008.0
2023-03-26,684056954.0
2023-04-02,725158462.0
2023-04-09,717065156.0
2023-04-16,690997654.0
2023-04-23,695426651.5
2023-04-30,634729696.0
2023-05-07,659943963.0
2023-05-14,667078667.0
2023-05-21,752243832.0
2023-05-28,756006245.0
2023-06-04,703910553.0
2023-06-11,654201034.0
2023-06-18,666758551.0
2023-06-25,670570582.0
2023-07-02,623507996.0
2023-07-09,613419737.0
2023-07-16,709613781.5
2023-07-23,581839116.0
2023-07-30,564957522.0
2023-08-06,619195824.0
2023-08-13,611170345.0
2023-08-20,584745538.0
2023-08-27,608241002.0
2023-09-03,637923872.0
2023-09-10,658498192.0
2023-09-17,768711737.0
2023-09-24,754181622.0
2023-10-01,759853904.0
2023-10-08,764047654.0
2023-10-15,670452432.0
2023-10-22,686668806.0
2023-10-29,740133862.0
2023-11-05,828378568.0
2023-11-12,759715033.0
2023-11-19,750276741.5
2023-11-26,809245956.5
2023-12-03,850422839.0
2023-12-10,873404546.0
2023-12-17,840998390.0
2023-12-24,819600323.0
2023-12-31,861411036.0
2024-01-07,689178544.0
2024-01-14,691647226.0
2024-01-21,763128738.0
2024-01-28,798493445.0
