date,randb_total_streams
2017-01-01,58871438.0
2017-01-08,68051260.0
2017-01-15,65839028.0
2017-01-22,62078715.0
2017-01-29,53981340.0
2017-02-05,46838786.0
2017-02-12,45527984.0
2017-02-19,45719722.0
2017-02-26,45178012.0
2017-03-05,40690066.0
2017-03-12,44792916.0
2017-03-19,44712142.0
2017-03-26,36118064.0
2017-04-02,32504214.0
2017-04-09,39139151.0
2017-04-16,45359860.0
2017-04-23,59553034.0
2017-04-30,57403089.0
2017-05-07,55494800.0
2017-05-14,53995683.0
2017-05-21,60047158.0
2017-05-28,69220337.0
2017-06-04,71188156.0
2017-06-11,67466373.0
2017-06-18,70444315.0
2017-06-25,96069138.0
2017-07-02,100954786.0
2017-07-09,111998566.0
2017-07-16,102731358.0
2017-07-23,102857163.0
2017-07-30,97717900.0
2017-08-06,95929348.0
2017-08-13,101500771.5
2017-08-20,91919076.0
2017-08-27,83872494.0
2017-09-03,82157846.0
2017-09-10,77281280.5
2017-09-17,72426149.5
2017-09-24,69283953.0
2017-10-01,66290108.0
2017-10-08,63738055.0
2017-10-15,62632620.0
2017-10-22,59121873.0
2017-10-29,61892984.0
2017-11-05,55905495.0
2017-11-12,52855505.0
2017-11-19,52517728.0
2017-11-26,52727423.0
2017-12-03,50410730.0
2017-12-10,51619004.0
2017-12-17,56177609.0
2017-12-24,55405109.0
2017-12-31,45701533.0
2018-01-07,56696426.0
2018-01-14,58215422.0
2018-01-21,61424414.0
2018-01-28,53716719.0
2018-02-04,49527206.0
2018-02-11,49688218.0
2018-02-18,48768783.0
2018-02-25,59138569.0
2018-03-04,53241516.0
2018-03-11,63284768.0
2018-03-18,66179628.0
2018-03-25,57940026.0
2018-04-01,65589396.0
2018-04-08,199176017.0
2018-04-15,134688380.0
2018-04-22,118259388.0
2018-04-29,106946331.0
2018-05-06,111088223.0
2018-05-13,90149677.0
2018-05-20,77592487.0
2018-05-27,80991259.0
2018-06-03,72675502.0
2018-06-10,67105749.0
2018-06-17,63359788.0
2018-06-24,55377846.0
2018-07-01,52875148.0
2018-07-08,59033537.0
2018-07-15,61776343.0
