date,rap_hip_hop_total_streams
2017-01-01,193242318.0
2017-01-08,216658416.5
2017-01-15,212142182.0
2017-01-22,213659694.0
2017-01-29,217631138.5
2017-02-05,242293008.0
2017-02-12,234447425.0
2017-02-19,224356681.0
2017-02-26,245646208.0
2017-03-05,258903492.0
2017-03-12,236370766.0
2017-03-19,236331820.0
2017-03-26,493199865.0
2017-04-02,444660838.0
2017-04-09,409473245.0
2017-04-16,378089758.0
2017-04-23,538971390.0
2017-04-30,458215882.0
2017-05-07,416167948.0
2017-05-14,415281920.0
2017-05-21,387889379.0
2017-05-28,358517053.0
2017-06-04,317880784.5
2017-06-11,302149352.5
2017-06-18,294261525.5
2017-06-25,335506104.0
2017-07-02,319572785.0
2017-07-09,339013342.0
2017-07-16,336116687.0
2017-07-23,315625520.0
2017-07-30,297220769.0
2017-08-06,300026080.0
2017-08-13,297619300.5
2017-08-20,284128077.0
2017-08-27,283913562.0
2017-09-03,367350829.0
2017-09-10,331344684.5
2017-09-17,321491452.5
2017-09-24,306722207.0
2017-10-01,305045460.0
2017-10-08,304391401.0
2017-10-15,313881971.0
2017-10-22,321238080.0
2017-10-29,320515172.0
2017-11-05,327165729.0
2017-11-12,340766410.0
2017-11-19,356189040.0
2017-11-26,356071665.0
2017-12-03,349701114.0
2017-12-10,339817028.0
2017-12-17,335700004.0
2017-12-24,401407962.0
2017-12-31,327730073.0
2018-01-07,348685123.0
2018-01-14,376851708.0
2018-01-21,364124964.0
2018-01-28,404088450.0
2018-02-04,469624112.0
2018-02-11,441604607.0
2018-02-18,521232005.0
2018-02-25,504537990.0
2018-03-04,482498295.0
2018-03-11,491793056.0
2018-03-18,509997836.0
2018-03-25,469135560.0
2018-04-01,466624213.0
2018-04-08,414947538.0
2018-04-15,480752350.0
2018-04-22,491012097.0
2018-04-29,601755481.0
2018-05-06,671906909.0
2018-05-13,573184453.0
2018-05-20,512603510.0
2018-05-27,464240416.0
2018-06-03,473646976.0
2018-06-10,570823200.0
2018-06-17,514363427.0
2018-06-24,589667835.0
2018-07-01,566988804.0
2018-07-08,949916986.5
2018-07-15,689517257.0
2018-07-22,652549292.0
2018-07-29,559890945.5
2018-08-05,515776590.5
2018-08-12,700916587.5
2018-08-19,582698058.5
2018-08-26,492002220.5
2018-09-02,465615612.5
2018-09-09,642654782.0
2018-09-16,560970262.0
2018-09-23,517874623.5
2018-09-30,533654591.0
2018-10-07,668938782.5
2018-10-14,499971458.5
2018-10-21,463093199.0
2018-10-28,431060779.0
2018-11-04,383666387.0
2018-11-11,401401099.0
2018-11-18,373006005.0
2018-11-25,345355676.0
2018-12-02,313450052.0
2018-12-09,324859379.0
2018-12-16,320775853.0
2018-12-23,298750471.0
2018-12-30,338145544.0
2019-01-06,399649850.0
2019-01-13,419735842.0
2019-01-20,420264301.0
2019-01-27,435315394.0
2019-02-03,469315613.0
2019-02-10,456492591.0
2019-02-17,424488458.0
2019-02-24,404829936.0
2019-03-03,413222111.0
2019-03-10,418012729.0
2019-03-17,459867330.5
2019-03-24,451525908.0
2019-03-31,440360945.0
2019-04-07,408212091.0
2019-04-14,405453240.0
2019-04-21,391063475.0
2019-04-28,339013387.0
2019-05-05,351234747.0
2019-05-12,359267200.0
2019-05-19,356934246.0
2019-05-26,468449617.0
2019-06-02,420105361.0
2019-06-09,394089006.0
2019-06-16,395822189.0
2019-06-23,365425123.0
2019-06-30,338602416.0
2019-07-07,348826910.0
2019-07-14,324334819.0
2019-07-21,321000586.0
2019-07-28,351898666.0
2019-08-04,392958399.0
2019-08-11,371550203.0
2019-08-18,342573146.0
2019-08-25,342189991.0
2019-09-01,345793653.0
2019-09-08,350188656.0
2019-09-15,600339777.0
2019-09-22,507504315.0
2019-09-29,445266017.0
2019-10-06,455203132.0
2019-10-13,481495809.0
2019-10-20,445642712.0
2019-10-27,451213814.0
2019-11-03,585736039.0
2019-11-10,478871458.0
2019-11-17,469939267.0
2019-11-24,445417536.0
2019-12-01,421390645.0
2019-12-08,414416597.0
2019-12-15,413858050.0
2019-12-22,425669751.0
2019-12-29,339481006.0
2020-01-05,481620849.5
2020-01-12,457542249.0
2020-01-19,504390414.0
2020-01-26,687105115.5
2020-02-02,527261258.0
2020-02-09,496561137.0
2020-02-16,477560730.5
2020-02-23,435428382.0
2020-03-01,440555813.5
2020-03-08,471646024.0
2020-03-15,502594107.0
2020-03-22,442841880.0
2020-03-29,388592416.0
2020-04-05,402907688.0
2020-04-12,464357625.0
2020-04-19,453954013.0
2020-04-26,475124990.0
2020-05-03,518350413.0
2020-05-10,579488653.0
2020-05-17,477828350.0
2020-05-24,487191512.5
2020-05-31,458748921.0
2020-06-07,454218958.5
2020-06-14,436217312.5
2020-06-21,423806646.0
2020-06-28,428843441.0
2020-07-05,410972979.5
2020-07-12,538078124.0
2020-07-19,732041036.0
2020-07-26,617505663.0
2020-08-02,575264038.0
2020-08-09,487619025.0
2020-08-16,535373226.0
2020-08-23,556480107.0
2020-08-30,572242328.0
2020-09-06,569804027.0
2020-09-13,595790080.0
