date,rock_total_streams
2017-01-01,30498420.0
2017-01-08,17889162.0
2017-01-15,14306671.0
2017-01-22,14720063.0
2017-01-29,17633083.0
2017-02-05,13469079.0
2017-02-12,12887467.0
2017-02-19,12356268.0
2017-02-26,11728125.0
2017-03-05,11008882.0
2017-03-12,8039655.0
2017-03-19,10779799.0
2017-04-09,8727204.0
2017-04-16,18841986.0
2017-04-23,16199643.0
2017-04-30,20271543.0
2017-05-07,19845520.0
2017-05-14,18528769.0
2017-05-21,17894942.0
2017-05-28,18503987.0
2017-06-04,17333159.0
2017-06-11,14613583.0
2017-06-18,11929035.0
2017-06-25,8459732.0
2017-07-02,25072665.0
2017-07-09,27372435.0
2017-07-16,35205883.0
2017-07-23,31913814.0
2017-07-30,27131150.0
2017-08-06,29453889.0
2017-08-13,24063918.0
2017-08-20,33710582.0
2017-08-27,35467677.0
2017-09-03,34171763.0
2017-09-10,34125252.0
2017-09-17,34036743.0
2017-09-24,33054998.0
2017-10-01,29037672.0
2017-10-08,30601834.0
2017-10-15,26539515.0
2017-10-22,26729105.0
2017-10-29,23362728.0
2017-11-05,24000727.0
2017-11-12,23341003.0
2017-11-19,23012925.0
2017-11-26,35921387.0
2017-12-03,22066314.0
2017-12-10,31228892.0
2017-12-17,31271357.0
2017-12-24,32914904.0
2017-12-31,53599702.0
2018-01-07,15112294.0
2018-01-14,15361344.0
2018-01-21,40666926.0
2018-01-28,27123785.0
2018-02-04,23499466.0
2018-02-11,21194255.0
2018-02-18,15680174.0
2018-02-25,15222645.0
2018-03-04,13598676.0
2018-03-11,9329269.0
2018-03-18,8367816.0
2018-03-25,7592758.0
2018-04-01,17212674.0
2018-04-08,14160933.0
2018-04-15,10709564.0
2018-04-22,10656718.0
2018-04-29,6360096.0
2018-05-06,6005417.0
2018-05-13,6062520.0
2018-05-20,5762539.0
2018-05-27,9812111.0
2018-06-03,10451289.0
2018-06-10,10087626.0
2018-06-17,9319327.0
2018-06-24,4734760.0
2018-07-01,19107600.0
2018-07-08,9773313.0
2018-07-15,10859482.0
2018-07-22,10912914.0
2018-07-29,14839290.0
2018-08-05,19185422.0
2018-08-12,15104381.0
2018-08-19,12128497.0
2018-08-26,12424038.0
2018-09-02,12329689.0
2018-09-09,37384008.0
2018-09-16,26457442.0
2018-09-23,23205128.0
2018-09-30,20781401.0
2018-10-07,44410528.0
2018-10-14,47823523.0
2018-10-21,58524045.0
2018-10-28,61162866.0
2018-11-04,75150263.0
2018-11-11,105008703.0
2018-11-18,114385969.0
2018-11-25,113636226.0
2018-12-02,102277349.0
2018-12-09,106001728.0
2018-12-16,104924031.0
2018-12-23,112240719.0
2018-12-30,148671335.0
2019-01-06,71869697.0
2019-01-13,72292285.0
2019-01-20,67781306.0
2019-01-27,66604141.0
2019-02-03,65798766.0
2019-02-10,69113498.0
2019-02-17,72271003.0
2019-02-24,74490632.0
2019-03-03,72394134.0
2019-03-10,66586639.0
2019-03-17,63384625.0
2019-03-24,60644435.0
2019-03-31,58613701.0
2019-04-07,75288328.0
2019-04-14,64523378.0
2019-04-21,53589268.0
2019-04-28,55282321.0
2019-05-05,59905881.0
2019-05-12,63026613.0
2019-05-19,66768082.0
2019-05-26,65801249.0
2019-06-02,68125038.0
2019-06-09,90938549.0
2019-06-16,74851567.0
2019-06-23,71423065.0
2019-06-30,70334831.0
2019-07-07,70040410.0
2019-07-14,68413254.0
2019-07-21,66715807.0
2019-07-28,68294856.0
2019-08-04,60484467.0
2019-08-11,59237198.0
2019-08-18,57042081.0
2019-08-25,56016410.0
2019-09-01,45008228.0
