date,singer_and_songwriter_total_streams
2017-01-08,5996523.0
2017-01-15,6737507.0
2017-01-22,7196092.0
2017-01-29,7725654.0
2017-02-05,8475540.0
2017-02-12,8582161.0
2017-02-19,8837487.0
2017-02-26,9057005.0
2017-03-05,8910296.0
2017-03-12,10477956.0
2017-03-19,11260305.0
2017-03-26,8013542.0
2017-04-02,8434399.0
2017-04-09,8213190.0
2017-04-16,8225446.0
2017-04-23,7535875.0
2017-04-30,7243931.0
2017-05-07,6766244.0
2017-05-14,6444094.0
2017-05-21,6259333.0
2017-05-28,5807503.0
2017-06-04,4420148.0
2017-06-11,4053317.0
2017-06-18,3698998.0
2017-06-25,3482718.0
2017-07-02,3201155.0
2017-07-09,3158032.0
2017-07-16,3117100.0
2017-07-23,2988624.0
2018-02-25,3864189.0
2018-03-04,3676340.0
2018-03-11,3803542.0
2018-03-18,3884479.0
2018-03-25,3966952.0
2018-04-01,8299582.0
2018-04-08,7737346.0
2018-04-15,8075947.0
2018-04-22,8503473.0
2018-04-29,4863429.0
2018-05-06,4483155.0
2018-05-13,4407031.0
2018-05-20,4250022.0
2018-06-17,4148414.0
2018-06-24,4102036.0
2018-07-01,8302467.0
2018-07-08,4902479.0
2018-07-15,5600729.0
2018-07-22,10048771.0
2018-07-29,15568295.0
2018-08-05,14398180.0
2018-08-12,16901226.0
2018-08-19,19557549.0
2018-08-26,20932502.0
2018-09-02,25061733.0
2018-09-09,26303916.0
2018-09-16,27991145.0
2018-09-23,28939749.0
2018-09-30,27343193.0
2018-10-07,26352993.0
2018-10-14,26181610.0
2018-10-21,25455245.0
2018-10-28,23417248.0
2018-11-04,22496377.0
2018-11-11,21757691.0
2018-11-18,21049597.0
2018-11-25,19639318.0
2018-12-02,18684766.0
2018-12-09,17824599.0
2018-12-16,17237124.0
2018-12-23,21694334.0
2018-12-30,22572773.0
2019-01-06,17198970.0
2019-01-13,18216990.0
2019-01-20,18398239.0
2019-01-27,17918245.0
2019-02-03,17255684.0
2019-02-10,16647890.0
2019-02-17,15932169.0
2019-02-24,15734518.0
2019-03-03,20909877.0
2019-03-10,15114021.0
2019-03-17,14633668.0
2019-03-24,14583433.0
2019-03-31,15332482.0
2019-04-07,14285687.0
2019-04-14,13599921.0
2019-04-21,13099321.0
2019-04-28,12958507.0
2019-05-05,12377414.0
2019-05-12,11879238.0
2019-05-19,7312283.0
2019-05-26,7024139.0
2019-06-02,11897171.0
2019-06-09,6562823.0
2019-06-16,11303153.0
2019-06-23,6243710.0
2019-06-30,5879955.0
2019-07-07,5559478.0
2019-07-14,5490639.0
2019-07-21,5568776.0
2019-07-28,5496166.0
2019-08-04,5451481.0
2019-08-11,5535271.0
2019-08-18,5516996.0
2019-08-25,5570108.0
2019-09-01,5221525.0
2019-09-08,5463817.0
2019-09-15,5590091.0
2019-09-22,5561937.0
2019-09-29,5604015.0
2019-10-06,5587411.0
2019-10-13,11962440.0
2019-10-20,11904001.0
2019-10-27,11783797.0
2019-11-03,11624166.0
2019-11-10,11487186.0
2019-11-17,14891416.0
2019-11-24,14882403.0
2019-12-01,10282374.0
2019-12-08,10480689.0
2019-12-15,11317808.0
2019-12-22,17048389.0
2019-12-29,14784209.0
2020-01-05,11704881.0
2020-01-12,13510200.0
2020-01-19,14547869.0
2020-01-26,14767656.0
2020-02-02,14575259.0
2020-02-09,14330223.0
2020-02-16,14196230.0
2020-02-23,13705461.0
2020-03-01,13309154.0
2020-03-08,8474719.0
2020-03-15,8159326.0
2020-03-22,8316157.0
2020-03-29,13153365.0
2020-04-05,13168098.0
2020-04-12,14594931.0
2020-04-19,15503732.0
2020-04-26,16151023.0
2020-05-03,15925147.0
2020-05-10,15974557.0
2020-05-17,15610535.0
2020-05-24,15368424.0
2020-05-31,14979816.0
2020-06-07,14523888.0
2020-06-14,13464790.0
2020-06-21,12904967.0
2020-06-28,12303634.0
2020-07-05,12175914.0
2020-07-12,11813368.0
2020-07-19,7450215.0
2020-07-26,11769655.0
2020-08-02,6798627.0
2020-08-09,11016551.0
2020-08-16,10846219.0
2020-08-23,10947028.0
2020-08-30,11057305.0
2020-09-06,11352583.0
2020-09-13,11396659.0
2020-09-20,11322479.0
2020-09-27,11395685.0
2020-10-04,11768782.0
2020-10-11,12021291.0
2020-10-18,12054441.0
2020-10-25,12460572.0
2020-11-01,12484004.0
2020-11-08,12130599.0
2020-11-15,12287836.0
2020-11-22,12203628.0
2020-11-29,11848951.0
2020-12-06,6644865.0
2020-12-13,6813876.0
2020-12-20,6409173.0
2020-12-27,7350024.0
2021-01-03,5958098.0
2021-01-10,10703752.0
2021-01-17,11499175.0
2021-01-24,11250005.0
2021-01-31,11082016.0
2021-02-07,11089560.0
2021-02-14,11054036.0
2021-02-21,5998893.0
2021-02-28,5901963.0
2021-03-07,5871794.0
2021-03-14,5759851.0
2021-03-21,5802065.0
2021-03-28,5780670.0
2021-04-04,5633447.0
2021-04-11,5411933.0
2021-04-18,11872781.0
2021-04-25,12705683.0
2021-05-02,12680602.0
2021-05-09,12700627.0
2021-05-16,12605156.0
2021-05-23,12769824.0
2021-05-30,7462027.0
2021-06-06,6982159.0
2021-06-13,13268094.0
2021-06-20,6604058.0
2021-06-27,6687423.0
2021-07-04,6462002.0
2021-07-11,6273397.0
2021-07-18,6098705.0
2021-07-25,11079632.0
2021-08-01,5914661.0
2021-08-08,5688920.0
2021-08-15,5721924.0
2021-08-22,5676012.0
2021-08-29,5744457.0
2021-09-05,5878089.0
2021-09-12,5574395.0
2021-09-19,5744049.0
2021-09-26,5801692.0
2021-10-03,5660310.0
2021-10-10,5702782.0
2021-10-17,5871220.0
2021-10-24,5982435.0
2021-10-31,6261857.0
2021-11-07,6181904.0
2021-11-14,6323270.0
2021-11-21,6497909.0
2021-11-28,6548246.0
2021-12-05,6651138.0
2021-12-12,6670531.0
2021-12-19,6452107.0
2021-12-26,13727268.0
2022-01-02,13580445.0
2022-01-09,6375938.0
2022-01-16,6875651.0
2022-01-23,7126342.0
2022-01-30,7182641.0
2022-02-06,7539430.0
2022-02-13,7658179.0
2022-02-20,7722193.0
2022-02-27,7557293.0
2022-03-06,8275324.0
2022-03-13,9401569.0
2022-03-20,10856115.0
2022-03-27,12059266.0
2022-04-03,12118944.0
2022-04-10,12450614.0
2022-04-17,12033422.0
2022-04-24,11560145.0
2022-05-01,12055349.0
2022-05-08,12014315.0
2022-05-15,17167113.0
2022-05-22,21036748.0
2022-05-29,28866563.0
2022-06-05,30165008.0
2022-06-12,31474225.0
2022-06-19,31190593.0
2022-06-26,31409370.0
2022-07-03,30771809.0
2022-07-10,30384717.0
2022-07-17,30569635.0
2022-07-24,30547005.0
2022-07-31,30350903.0
2022-08-07,30590575.0
2022-08-14,30626516.0
2022-08-21,29944825.0
2022-08-28,35897229.0
2022-09-04,36895143.0
2022-09-11,39003803.0
2022-09-18,39465962.0
2022-09-25,39468068.0
2022-10-02,39738287.0
2022-10-09,45990665.0
2022-10-16,47972195.0
2022-10-23,51599305.0
2022-10-30,51850456.0
2022-11-06,44988421.0
2022-11-13,45445304.0
2022-11-20,45935434.0
2022-11-27,45866127.0
2022-12-04,42507785.0
2022-12-11,40919632.0
2022-12-18,39427516.0
2022-12-25,38464408.0
2023-01-01,36521630.0
2023-01-08,37359917.0
2023-01-15,38832951.0
2023-01-22,40849875.0
2023-01-29,38680433.0
2023-02-05,36591229.0
2023-02-12,28624383.0
2023-02-19,28751754.0
2023-02-26,27701448.0
2023-03-05,27414384.0
2023-03-12,27457619.0
2023-03-19,27086451.0
2023-03-26,26101993.0
2023-04-02,25059262.0
2023-04-09,25102357.0
2023-04-16,23852401.0
2023-04-23,24036780.0
2023-04-30,23889453.0
2023-05-07,24254811.0
2023-05-14,23477195.0
2023-05-21,23263673.0
2023-05-28,23552687.0
2023-06-04,22728453.0
2023-06-11,22247419.0
2023-06-18,22042700.0
2023-06-25,21458170.0
2023-07-02,21598429.0
2023-07-09,13750810.0
2023-07-16,13325910.0
2023-07-23,12495381.0
2023-07-30,12354685.0
2023-08-06,12492951.0
