artist,song,lastfm_search_artist,lastfm_search_track,lastfm_listeners,lastfm_playcount,lastfm_duration_ms,lastfm_album,lastfm_tags,error_fetching
AJR,Weak,AJR,Weak,358313.0,2918436.0,201000.0,What Everyone's Thinking,pop|Favorite|2010s|2017|alternative,
A$AP Mob,RAF,A$AP Mob,RAF,92245.0,779695.0,0.0,,Hip-Hop|Frank Ocean|ASAP Rocky|Playboi Carti|Lil Uzi Vert,
2 Chainz,4 AM,2 Chainz,4 AM,221208.0,1623682.0,256000.0,Pretty Girls Like Trap Music,MySpotigramBot|Hip-Hop|rap|trap|fallon,
Alan Walker,Alone,Alan Walker,Alone,298587.0,2310681.0,161000.0,Alone,EDM|electronic|dance|House|norwegian,
A Boogie wit da Hoodie,Drowning,A Boogie wit da Hoodie,Drowning,4671.0,22887.0,0.0,,,
Alan Walker,Faded,Alan Walker,Faded,696309.0,6315861.0,212000.0,Faded,EDM|electronic|dance|pop|norwegian,
Alice Merton,No Roots,Alice Merton,No Roots,293917.0,2436582.0,235000.0,No Roots,pop|female vocalists|2017|indie pop|catchy,
Alan Walker,Tired,Alan Walker,Tired,105897.0,674331.0,194000.0,Tired,dance|memories|gavin james,
Alma,Chasing Highs,Alma,Chasing Highs,102131.0,560408.0,195000.0,Chasing Highs,party|electronic|pop|dance|finnish,
Alok,Hear Me Now,Alok,Hear Me Now,267618.0,1705664.0,194000.0,Hear Me Now,electronic|House|Zeeba|bruno martini|pop,
Anne,Marie - Ciao Adios,Anne,Marie - Ciao Adios,45.0,175.0,0.0,,,
Ariana Grande,One Last Time,Ariana Grande,One Last Time,1210539.0,13767012.0,195000.0,My Everything,pop|2014|sad|female vocalists|heartbreak,
Anuel AA,Sola,Anuel AA,Sola,23081.0,186206.0,193000.0,Sola,,
Ariana Grande,Side To Side,Ariana Grande,Side To Side,1016585.0,9590461.0,0.0,,pop|reggae|2016|nicki minaj|rap,
Axwell Λ Ingrosso,More Than You Know,Axwell Λ Ingrosso,More Than You Know,12947.0,103666.0,203000.0,Fresh Hits Jesień 2017,party|duo|wake-up song|German Number 1|2017 single,
BLACKPINK,As If It's Your Last,BLACKPINK,As If It's Your Last,559763.0,10028453.0,222000.0,AS IF IT'S YOUR LAST,k-pop|Kpop|pop|Korean|2017,
BLACKPINK,불장난 PLAYING WITH FIRE,BLACKPINK,불장난 PLAYING WITH FIRE,3193.0,75122.0,0.0,,Kpop| pop| korean| female vocalists| k-pop,
Ayo,Rolex,Ayo,Rolex,23.0,34.0,0.0,,,
BTS,봄날 Spring Day,BTS,봄날 Spring Day,1381.0,28016.0,0.0,,hip hop|pop|rap|Korean|k-pop,
Bad Bunny,Soy Peor,Bad Bunny,Soy Peor,123549.0,1141348.0,257000.0,Soy Peor,urban|favourite|trap|<3|actually good,
Blanche,City Lights,Blanche,City Lights,53362.0,660447.0,174000.0,City Lights,Eurovision|Belgium|electropop|Eurovision Song Contest|Eurovision 2017,
