artist,song,mbid
2 Chainz,4 AM,bfbe4297-9648-4bb5-ba58-651f0a3f6934
A Boogie wit da Hoodie,Drowning,4c5c512a-3d2c-424d-87ed-94a06d58e712
A$AP Mob,RAF,dd1ff082-61c4-4f71-bc8d-ae4f183883a9
AJR,Weak,76fb1851-6285-4e46-9f87-744cdc9e1811
Alan Walker,Alone,e63ffb76-2686-4fad-9016-3069681fa916
Alan Walker,Faded,404e7fc0-26ab-496e-a449-fd1e2980e622
Alan Walker,Tired,bc86bba6-9d6a-44bd-a099-c19c5691db7f
Alice Merton,No Roots,0e7afe40-ed30-4014-bb02-2bea333fbd60
Alma,Chasing Highs,64b64761-8dc7-4a8c-9f6a-7ba02fd9f2a5
Alok,Hear Me Now,14478180-ec7c-4166-8512-d56c189b0cce
Anne,Marie - Ciao Adios,
Anuel AA,Sola,03d30223-455e-4106-b4d6-0d95ab30537c
Ariana Grande,One Last Time,1bbef687-4557-4b97-a1e8-e907fbf0d02b
Ariana Grande,Side To Side,75cdfb0d-2c9c-4b98-a3bf-8c03ec062fe9
Axwell Λ Ingrosso,More Than You Know,90b98021-6ee4-4140-bfc7-49c0fe8c69c5
Ayo,Rolex,2f3619ce-a1ff-44fc-9938-629722558b18
BLACKPINK,As If It's Your Last,4c5eadff-c86a-45e0-ba80-47ed21cc269d
BLACKPINK,불장난 PLAYING WITH FIRE,0e39ec62-b61f-471c-9ff5-98318d6fd3f3
BTS,봄날 Spring Day,
Bad Bunny,Soy Peor,66f199bc-8b59-4269-8006-2fdda8569d99
Blanche,City Lights,8b2c1566-2d84-45a7-a1e3-1fc8f2c564c1
Boef,Habiba,9171efa4-c31c-4072-a479-2af9875dc945
Bruno Mars,24K Magic,5dc11453-1bce-42d0-a7e3-0ce4d5c43da8
Bruno Mars,That’s What I Like,de868033-cdf6-4303-9cdf-b52d9c396ef4
Bruno Mars,Versace On The Floor,b1eabc24-e01f-41bd-a260-c254359b3ca0
Bryson Tiller,Run Me Dry,5773977c-7db6-4f34-b7d6-ba571acd72a7
Burak Yeter,Tuesday,7f3aa0f7-16f1-45cb-9b5b-5c9506b47845
CNCO,Hey DJ,a58b5a57-7809-4a61-935a-aa8e204fe3bb
CNCO,Reggaetón Lento,47b5a941-72bb-40c9-924a-9b34c8f51914
Calvin Harris,Feels,dc9b0beb-6c7f-4047-93ee-df8c9313fa45
Calvin Harris,Rollin,55f079bf-67ed-4f28-bc77-8a79138580ae
Calvin Harris,Slide,c2b64876-72dc-45e8-9a33-c48be4f0deb9
Calvin Harris,This Is What You Came For,30ac9667-bc70-4541-a022-a3a881784ec2
Camila Cabello,Crying in the Club,0dd10e43-5e5c-42a6-a827-53580b047992
Carlos Vives,Al Filo de Tu Amor,f57fafe8-f82a-4eba-a4b8-3f2451c6b34c
Carlos Vives,La Bicicleta,ba328c14-fe59-40bb-8e3c-8e62b431bf41
Charlie Puth,Attention,bbba4cde-b73d-465b-a9b9-02be23c47bed
Charlie Puth,One Call Away,28073c44-ef2f-4fed-8ae4-6628b7feee42
Charlie Puth,We Don’t Talk Anymore,f3e9b7c2-2843-4509-9ae5-495eb70e3f74
Cheat Codes,No Promises,7e10fb63-885b-47a2-bac0-d8cdd3896c58
Childish Gambino,Redbone,ac5977af-d4dc-4636-b867-b02e15d2f6d8
Chino,Andas En Mi Cabeza,e01e3276-9cf1-48af-b0e3-9f0affa2e64e
Chris Jeday,Ahora Dice,e16bf12e-ad32-4092-9ea0-7336174cd428
Clean Bandit,Rockabye,9a9de254-182c-4b1d-8c1c-4b005b047467
Clean Bandit,Symphony,e11258e7-2f72-4367-86ce-8e86c8e5ff26
Coldplay,A Sky Full of Stars,e455af9f-a1c5-434a-bf64-b154327b0f20
Coldplay,Adventure of a Lifetime,674a8b2d-db38-40a9-8c53-2e7f13ed22ec
Coldplay,Everglow,368eb5f9-8e65-44a6-bb74-1d93a926d866
Coldplay,Hymn for the Weekend,6de05f97-fc00-42bf-8b82-14a351aac3a1
Cro,Unendlichkeit,2972b93a-ca3c-4de6-9048-853929feb406
DJ Khaled,Don't Quit,251094ca-0ab8-468b-9313-b9483eac4118
DJ Khaled,Down for Life,eff47de0-28cd-42da-a222-fc8c6783b509
DJ Khaled,I Can't Even Lie,2a297594-4fcf-45f0-8dda-efaf4593a660
DJ Khaled,I Love You so Much,a9e9c957-c88f-45da-aa4d-99279e8840e3
DJ Khaled,I'm the One,2d4bc298-80b5-4090-be58-55ace3f90b80
DJ Khaled,Iced Out My Arms,c3dd4cbe-5de2-41ab-b5f1-25bd5889f240
DJ Khaled,It's Secured,ee668d57-c9ab-424d-8915-d8784e3c1dab
DJ Khaled,Major Bag Alert,485850f6-f72f-4463-96e0-b9afe876feb1
DJ Khaled,Nobody,5e796532-3e57-429a-b643-16f89e931c79
DJ Khaled,On Everything,12cf42a3-fc8c-490c-95ba-4111c99d1c8c
DJ Khaled,Shining,e89f4241-abc1-4ea2-8674-b9fd3b57db1e
DJ Khaled,To the Max,366f70e2-e854-4312-9593-78bc0717d868
DJ Khaled,Wild Thoughts,7e91093a-b0e6-4e46-8456-f68901a6707e
DJ Snake,Let Me Love You,708b9dbd-220d-4e9e-a30d-cc36f969c8ea
Daddy Yankee,La Rompe Corazones,926231da-d5e5-489a-8417-c1f58556cd24
Damso,Ε. Signaler,a1cb377d-f11b-45b3-a9b9-260bf42823d6
Damso,Θ. Macarena,f850c77a-add0-4a46-ace6-1e3380051337
Danny Ocean,Me Rehúso,095b6855-8eba-4ee1-ab57-aa26c65d5a55
David Guetta,2U,fc51acb6-7898-4db0-857b-a27540d1a181
Disciples,On My Mind,1d91ea69-cce4-422a-88b2-7442058a9c87
Drake,Blem,f4d006a6-54b6-494a-93ec-bfdb52e5dc2b
Drake,Fake Love,240ac63f-cfdc-4f15-b6e2-315977d0a4ae
Drake,Gyalchester,19f457b0-0f8c-40df-bd9e-f394c294a928
Drake,One Dance,af522884-a7a1-4336-990c-583b1b9e1ebf
Drake,Passionfruit,8eccc484-bba1-4ca0-8600-41c8be9976a9
Drake,Portland,fdc14ab6-3403-496b-99b3-1dd3fb4a8fa8
Drake,Signs,a45a4fc3-fac7-47e6-889e-0070d337b2d5
Ed Sheeran,Castle on the Hill,4396f93f-c637-4919-810e-cd4e363fddb6
Ed Sheeran,Dive,4b880151-1ac0-4604-90e3-4eb82714bad8
Ed Sheeran,Galway Girl,be8bfbbf-7609-4c73-8881-54153242b2bb
Ed Sheeran,Happier,e4df7ea5-22e0-4398-952f-6b6af830380f
Ed Sheeran,How Would You Feel,8253b230-47a0-49d1-835b-77b0e73cfc3e
Ed Sheeran,New Man,4f600719-898a-418e-b528-b5660d1891bd
Ed Sheeran,Perfect,2a0e6123-9673-47f8-acf8-de20c5e7265b
Ed Sheeran,Photograph,f008970e-226f-4c2e-bf36-841ac4676d56
Ed Sheeran,Shape of You,c664a576-f0e5-4725-8d52-05ecfe4822d8
Ed Sheeran,Supermarket Flowers,832b693a-2004-4824-bdf4-b053b725edfe
Ed Sheeran,Thinking Out Loud,abb0c0af-629d-4c19-9824-ccb26f67623a
Ed Sheeran,What Do I Know,b3f9d318-394e-46d7-99b9-1d78ae595b34
Enrique Iglesias,DUELE EL CORAZON,7689d1d6-dcfc-48fc-878c-039ccd86c330
Enrique Iglesias,SÚBEME LA RADIO,48e04079-4ab0-472d-b872-595f080ea8f2
Felix Jaehn,Hot2Touch,b610dc43-574d-4036-b33e-a3cb5a16f726
Fifth Harmony,Down,bf5405ef-ddda-4110-b97d-793e1048b694
French Montana,Unforgettable,3a4b7bd2-43e1-49a5-8e2f-ed2caf424a6f
Future,Mask Off,804906b0-a7fd-45f6-8b5a-aff9c3a3a21d
G,DRAGON - 개소리 B******T,
G,"DRAGON - 무제 無題 Untitled, 2014",
G,Eazy & Kehlani - Good Life,
G,イージー & Kehlani - Good Life,
Gucci Mane,Met Gala,162f1df9-ccbd-4ab5-8f44-575815a72312
Hailee Steinfeld,Most Girls,2c13963e-8a3c-45bf-bdb7-0956bf7723dc
Halsey,Now Or Never,6b0eafa9-fde4-41f9-9f90-e8b5c827aae1
Halsey,Now or Never,6b0eafa9-fde4-41f9-9f90-e8b5c827aae1
Hardwell,Creatures of the Night,ae223849-ed1b-4358-abf0-c4e3dc787669
Harry Styles,Sign of the Times,4d02b763-64b5-44f3-9593-be9513f1db89
Hebe Tien,A Little Happiness,
INDIIA,Out of Love,e8140d21-9c30-402b-9b46-98b4593fb4bb
IU,팔레트 Palette,
Imagine Dragons,Believer,f3645b47-224b-4190-8c24-2741aab235cb
Imagine Dragons,I Don’t Know Why,57ff93f1-6d8e-47dc-b9ea-51921a17955e
Imagine Dragons,I’ll Make It Up To You,24266234-d128-4ca0-8a1a-c61f92c447c1
Imagine Dragons,Rise Up,4bde0cf9-068d-4ad9-9712-aae722b48702
Imagine Dragons,Thunder,37e935c3-fe98-482e-9c29-c729c1202f6d
Imagine Dragons,Walking the Wire,c521ed14-31c3-4f2b-903f-86076fe3ed26
Imagine Dragons,Whatever It Takes,502ac112-7972-4ca5-8545-344b4a49b6be
J Balvin,Bonita,ce463bd5-ffc9-4f15-9f1d-6631fb89db68
J Balvin,Si Tu Novio Te Deja Sola,a399e048-ad2d-4626-abdc-e4a9526f9541
J Balvin,Sigo Extrañándote,be0f172c-6b9b-4438-b207-14023f24e675
J Hus,Did You See,8b4ed19b-f0cf-42c2-8baa-03ec4127f10e
JW,原來只因深愛著,ff32a2c3-4a3f-4900-8d22-649db9b96e23
James Arthur,Say You Won't Let Go,2a5d3fc2-7ff6-4482-b109-33170603e520
Jaonaay,คนละชั้น,
