genre,ma_window,mae,rmse,mape,model_name_extracted,source_file,best_params,sarima_order
pop,4.0,93676086.125,111436820.42279604,9.620585214322022,MovingAverage,BEST_genre_ma4_metrics_top10_test8.csv,,
rap_hip_hop,4.0,172720833.625,221824708.49560708,29.00431336407142,MovingAverage,BEST_genre_ma4_metrics_top10_test8.csv,,
latin_music,4.0,151846922.4375,166700761.23307544,49.79629055507182,MovingAverage,BEST_genre_ma4_metrics_top10_test8.csv,,
alternative,4.0,30515375.4375,33172749.700170077,14.837719352349657,MovingAverage,BEST_genre_ma4_metrics_top10_test8.csv,,
dance,4.0,15516894.0,20952634.85118298,18.93277887329902,MovingAverage,BEST_genre_ma4_metrics_top10_test8.csv,,
randb,4.0,68116018.0,96630021.5656049,27.22927277435885,MovingAverage,BEST_genre_ma4_metrics_top10_test8.csv,,
rock,4.0,3904162.75,4524842.982015425,3.809545273278925,MovingAverage,BEST_genre_ma4_metrics_top10_test8.csv,,
electro,4.0,5265890.125,6860543.685295047,17.732770318143228,MovingAverage,BEST_genre_ma4_metrics_top10_test8.csv,,
asian_music,4.0,26224236.9375,33171782.922014773,27.228249593072228,MovingAverage,BEST_genre_ma4_metrics_top10_test8.csv,,
films_games,4.0,9732441.5,10942251.483935596,39.62597201322006,MovingAverage,BEST_genre_ma4_metrics_top10_test8.csv,,
pop,,72929965.83788063,86189931.39071001,7.747741467433427,Prophet,BEST_genre_Prophet_tuned_top10_test8_expanded_metrics.csv,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 0.1, 'seasonality_mode': 'additive'}",
rap_hip_hop,,129312284.5449,185681118.91985092,20.510935460620747,Prophet,BEST_genre_Prophet_tuned_top10_test8_expanded_metrics.csv,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.1, 'seasonality_mode': 'additive'}",
latin_music,,83456714.04222873,114919343.71875592,20.41184347313432,Prophet,BEST_genre_Prophet_tuned_top10_test8_expanded_metrics.csv,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive'}",
alternative,,49114372.10419622,54490207.038086586,24.629148469088825,Prophet,BEST_genre_Prophet_tuned_top10_test8_expanded_metrics.csv,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive'}",
dance,,14693725.13641597,19404492.67900784,18.938228041682237,Prophet,BEST_genre_Prophet_tuned_top10_test8_expanded_metrics.csv,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative'}",
randb,,67447857.4879033,97672788.6222294,27.02335428382365,Prophet,BEST_genre_Prophet_tuned_top10_test8_expanded_metrics.csv,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 0.1, 'seasonality_mode': 'multiplicative'}",
rock,,5927425.189937832,6257349.866437646,5.708211356616904,Prophet,BEST_genre_Prophet_tuned_top10_test8_expanded_metrics.csv,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive'}",
electro,,12756528.386999063,13686808.488996554,53.98571339634708,Prophet,BEST_genre_Prophet_tuned_top10_test8_expanded_metrics.csv,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive'}",
asian_music,,16495867.22711417,22857739.02401145,19.017607432829383,Prophet,BEST_genre_Prophet_tuned_top10_test8_expanded_metrics.csv,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative'}",
films_games,,28733441.713900328,31006020.042276397,115.34968027427476,Prophet,BEST_genre_Prophet_tuned_top10_test8_expanded_metrics.csv,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive'}",
african_music,,3708167.3316889047,5219273.774875541,58.25081332696684,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
alternative,,4854709.894727075,7777863.16324211,31.88163182463329,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
asian_music,,4589019.346567751,6507479.036018942,40.64690645971961,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
blues,,4972639.5625,5816114.385277269,58.27198226283132,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
bollywood,,1806201.625,1847735.0924384089,24.918686050207324,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
brazilian_music,,1199970.3987892924,1630092.0164928534,15.73076090888208,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
chill_out_trip-hop_lounge,,501013.125,594175.8784320515,10.772257738923408,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
classical,,5898803.925145834,15575256.71638694,22.809543416060773,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
contemporary_randb,,1609232.989651719,2368742.2322384515,33.11548684796466,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
dance,,7307993.677620525,11034847.018234115,38.98490162725948,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
dancehall_ragga,,883155.625,896805.8638060275,22.53814870696968,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
disco,,571324.75,689097.6710815383,12.594612412010305,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
dubstep,,705600.2005145854,957910.2678499096,8.176618652607843,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
electro,,3968387.145301363,5399296.165104827,36.1378734339262,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
film_scores,,5792713.970304147,8931404.289302103,51.56199985972334,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
films_games,,5487488.645421594,8610879.350650787,48.95992188701717,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
folk,,2486332.8661173373,3017573.166084376,33.44881647906944,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
hard_rock,,468125.1428571429,568207.974506317,4.332068451851493,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
indie_pop,,3691135.380662148,5567988.151920588,52.93808120139036,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
indie_pop_folk,,4296583.544157161,6798716.690966985,60.587804174175886,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
indie_rock,,2855341.346289528,3564195.2441498777,43.37269544533572,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
indie_rock_rock_pop,,630846.0894189294,662398.1221324246,11.484038989025365,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
international_pop,,2163831.3560539437,3027555.290634486,41.90467560337087,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
jazz,,5699688.75,6869176.571539489,40.24372552881823,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
latin_music,,9112493.236888563,11597048.433461232,31.95767365345962,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
metal,,468890.625,557044.4596568347,4.918872626872039,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
musicals,,3584696.9421347314,3985317.218403444,71.05433868676066,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
pop,,21721366.17765725,28753894.998206954,33.026520447738626,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
randb,,3909255.899044194,5927669.11919435,33.33732712057969,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
rap_hip_hop,,15993796.746117713,19741379.552368782,36.72561150588542,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
reggae,,2137568.8461198504,3448315.385162855,33.90032607401874,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
rock,,4230380.512602379,11121825.1777672,36.4178913627789,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
rock_and_roll_rockabilly,,356608.75290860306,472700.8160386309,3.770209016345942,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
singer_and_songwriter,,1101929.3919221924,1906528.7767747848,17.184576617493857,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
soul_and_funk,,1693171.284892256,2709820.731904432,36.83551902774913,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
techno_house,,3429313.351334793,4539901.390406648,47.94671071438436,LightGBM,genre_LGBM_tuned_ts_cv_metrics_songs6064_iter10.csv,,
pop,,121046783.125,142982671.58314982,12.404840822867923,Naive,genre_naive_metrics_top10_test8.csv,,
rap_hip_hop,,155393177.375,208616285.33205247,25.48404203579867,Naive,genre_naive_metrics_top10_test8.csv,,
latin_music,,290345162.25,302529205.5672627,92.28808432595076,Naive,genre_naive_metrics_top10_test8.csv,,
alternative,,36744672.125,42953466.54143453,18.58344394417781,Naive,genre_naive_metrics_top10_test8.csv,,
dance,,14651886.0,19528420.96839194,18.760282969294963,Naive,genre_naive_metrics_top10_test8.csv,,
randb,,68028186.25,96458460.71282546,27.234176669312145,Naive,genre_naive_metrics_top10_test8.csv,,
rock,,3677371.125,4289967.508751625,3.5797224810663346,Naive,genre_naive_metrics_top10_test8.csv,,
electro,,6084303.25,7678853.36633719,20.678437962057345,Naive,genre_naive_metrics_top10_test8.csv,,
asian_music,,26095875.75,33052218.7851707,27.098030234016967,Naive,genre_naive_metrics_top10_test8.csv,,
films_games,,8188757.25,10067487.659676122,31.79121843371077,Naive,genre_naive_metrics_top10_test8.csv,,
african_music,,372099.9429438511,447472.4919757032,5.961754132660091,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
alternative,,1731158.0994527563,3255601.0138044786,17.688958237300405,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
asian_music,,1578074.2796862917,1611741.333540585,25.323722266335945,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
dance,,933508.5172400008,1451123.812243653,11.204475923928394,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
dubstep,,715687.9964030972,836732.8369584628,8.1825386760811,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
electro,,1180813.36465786,1738333.2458219756,12.168453157755064,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
film_scores,,1148971.8190952449,1299585.42812316,9.68678760316563,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
films_games,,1148971.8190952449,1299585.42812316,9.68678760316563,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
indie_pop,,4356188.437533728,6012378.550644148,51.50822025480775,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
indie_pop_folk,,4886397.395586446,6948083.692233218,66.6698625314113,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
indie_rock,,3825979.479481009,4901175.846489745,36.346577978204174,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
international_pop,,264846.3176126112,395629.7450825464,1.483971598700089,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
latin_music,,1142013.5819362062,2250603.625927628,15.195336477074836,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
pop,,2664135.342135676,5667084.261256061,15.89539204161568,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
randb,,843370.3379664153,1348620.6590766157,9.393718764323038,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
rap_hip_hop,,1484065.2700949209,3766466.1835732106,13.232373394126082,RandomForest,genre_RF_tscv_tuned_metrics_songs200_iter10.csv,,
