genre,mae,rmse,mape
african_music,3708167.3316889047,5219273.774875541,58.250813326966835
alternative,4854709.894727075,7777863.16324211,31.88163182463329
asian_music,4589019.346567751,6507479.036018942,40.64690645971961
blues,4972639.5625,5816114.385277269,58.27198226283132
bollywood,1806201.625,1847735.0924384089,24.918686050207324
brazilian_music,1199970.3987892924,1630092.0164928534,15.730760908882079
chill_out_trip-hop_lounge,501013.125,594175.8784320515,10.772257738923408
classical,5898803.925145834,15575256.71638694,22.809543416060773
contemporary_randb,1609232.989651719,2368742.2322384515,33.11548684796466
dance,7307993.6776205255,11034847.018234115,38.984901627259475
dancehall_ragga,883155.625,896805.8638060275,22.53814870696968
disco,571324.75,689097.6710815383,12.594612412010303
dubstep,705600.2005145854,957910.2678499097,8.176618652607843
electro,3968387.145301363,5399296.165104827,36.1378734339262
film_scores,5792713.970304147,8931404.289302103,51.56199985972334
films_games,5487488.645421594,8610879.350650787,48.959921887017174
folk,2486332.8661173373,3017573.1660843757,33.448816479069436
hard_rock,468125.14285714284,568207.974506317,4.332068451851493
indie_pop,3691135.380662148,5567988.151920588,52.93808120139036
indie_pop_folk,4296583.544157161,6798716.690966985,60.587804174175886
indie_rock,2855341.346289528,3564195.2441498777,43.372695445335715
indie_rock_rock_pop,630846.0894189294,662398.1221324246,11.484038989025363
international_pop,2163831.3560539433,3027555.290634486,41.90467560337087
jazz,5699688.75,6869176.571539489,40.24372552881823
latin_music,9112493.236888563,11597048.433461232,31.95767365345962
metal,468890.625,557044.4596568347,4.918872626872039
musicals,3584696.9421347314,3985317.218403444,71.05433868676066
pop,21721366.177657254,28753894.998206954,33.026520447738626
randb,3909255.899044194,5927669.11919435,33.33732712057969
rap_hip_hop,15993796.746117711,19741379.552368782,36.72561150588542
reggae,2137568.8461198504,3448315.385162855,33.90032607401874
rock,4230380.512602379,11121825.1777672,36.4178913627789
rock_and_roll_rockabilly,356608.75290860306,472700.8160386309,3.770209016345942
singer_and_songwriter,1101929.3919221924,1906528.7767747848,17.184576617493857
soul_and_funk,1693171.2848922561,2709820.731904432,36.83551902774913
techno_house,3429313.3513347935,4539901.390406648,47.94671071438436
