genre,mae,rmse,mape
african_music,372099.9429438511,447472.4919757032,5.961754132660091
alternative,1731158.0994527563,3255601.0138044786,17.688958237300405
asian_music,1578074.2796862917,1611741.333540585,25.323722266335942
dance,933508.5172400007,1451123.812243653,11.204475923928394
dubstep,715687.9964030972,836732.8369584628,8.1825386760811
electro,1180813.36465786,1738333.2458219756,12.168453157755065
film_scores,1148971.8190952449,1299585.42812316,9.68678760316563
films_games,1148971.8190952449,1299585.42812316,9.68678760316563
indie_pop,4356188.437533728,6012378.550644148,51.508220254807746
indie_pop_folk,4886397.395586446,6948083.692233218,66.6698625314113
indie_rock,3825979.479481009,4901175.846489745,36.346577978204174
international_pop,264846.31761261116,395629.74508254643,1.483971598700089
latin_music,1142013.5819362062,2250603.6259276276,15.195336477074836
pop,2664135.3421356757,5667084.261256061,15.89539204161568
randb,843370.3379664153,1348620.6590766155,9.393718764323038
rap_hip_hop,1484065.2700949209,3766466.1835732106,13.232373394126082
rock,393643.47814193036,669614.7076993951,1.2008603766453048
singer_and_songwriter,252824.5299370026,323296.5268031803,4.2248727580936265
techno_house,599747.2020845236,729922.6769934234,6.943634381714501
